gammas,error_rates_300,error_rates_1000,error_rates_3000,error_rates_10000,error_rates_30000
1,0.13333333333333333,0.061,0.094,0.0822,0.061733333333333335
2,0.05737704918032787,0.06695464362850972,0.07945205479452055,0.06606606606606606,0.04355620476727973
3,0.06060606060606061,0.03323262839879154,0.07244897959183673,0.05342384887839433,0.04202350129456284
10,0.0,0.020833333333333332,0.05536332179930796,0.046464646464646465,0.03159663865546219
