gamma,k,fingerprint_length,n_recipients,sk,embedding_ratio,vote_error,tp,tn
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.484375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.5234375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.546875
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4765625
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.5
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.46875
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4921875
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4609375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.5
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.484375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4609375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.5078125
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.515625
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.5859375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4375
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4453125
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.4765625
2,300,128,20,100,0.5,0.013634495273040793,1.0,0.484375
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.4765625
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5078125
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.4375
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.4453125
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5546875
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.625
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5625
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5546875
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5078125
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5078125
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.484375
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.6015625
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.4375
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.5390625
2,300,128,20,101,0.5,0.013319084859377276,1.0,0.46875
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.484375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.5234375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.546875
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4765625
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.5
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.46875
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4921875
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4609375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.5
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.484375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4609375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.5078125
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.515625
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.5859375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4375
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4453125
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.4765625
2,500,128,20,100,0.5,0.013524804177545691,1.0,0.484375
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.4765625
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5078125
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.4375
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.4453125
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5546875
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.625
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5625
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5546875
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5078125
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5078125
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.484375
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.6015625
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.4375
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.5390625
2,500,128,20,101,0.5,0.013296996196579917,1.0,0.46875
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.484375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.5234375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.546875
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4765625
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.5
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.46875
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4921875
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4609375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.5
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.484375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4609375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.5078125
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.515625
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.5859375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4375
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4453125
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.4765625
4,300,128,20,100,0.25,0.01297815663292488,1.0,0.484375
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.4765625
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5078125
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.4375
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.4453125
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5546875
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.625
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5625
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5546875
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5078125
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5078125
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.484375
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.6015625
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.4375
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.5390625
4,300,128,20,101,0.25,0.013328106624852998,1.0,0.46875
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.484375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.5234375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.546875
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4765625
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.5
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.46875
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4921875
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4609375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.5
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.484375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4609375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.5078125
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.515625
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.5859375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4375
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4453125
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.4765625
4,500,128,20,100,0.25,0.013036642883057201,1.0,0.484375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.484375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.5234375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.546875
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4765625
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.5
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.46875
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4921875
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4609375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.5
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.484375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4609375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.5078125
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.515625
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.5859375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4375
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4453125
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.4765625
8,300,128,20,100,0.125,0.012846891152707382,1.0,0.484375
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.484375
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.5234375
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.546875
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.4765625
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.5
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.46875
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.4921875
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.4609375
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.5
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.484375
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.4609375
8,500,128,20,100,0.125,0.012578276830058303,1.0,0.4375
