gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
2,300,64,20,100,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,100,0,0.5,0,Elevation,0.00028392077878469256,0.0022725013535687018,0.003794445523104064,5.7376499328891725e-05,1.1186000000000007,0.0025000000000000577,0.9999823788265191
2,300,64,20,100,0,0.5,0,Aspect,0.0001403703703703722,2.601099464347825e-05,0.0009734096119769352,3.7922922041771326e-06,0.0904,0.0006666666666666488,1.0
2,300,64,20,100,0,0.5,0,Slope,2.3497267759585733e-05,0.0017439683499992555,0.0038728695810727955,6.000881127521928e-05,0.02410000000000032,0.0020333333333333314,0.9999999715897882
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0014705137751302986,0.004063498457268858,0.005527000488586622,0.00012192473697485698,2.017966666666667,0.00656666666666661,0.5350491366494899
2,300,64,20,100,0,0.5,0,Vertical_Distance_To_Hydrology,0.0011435714285714278,0.018546526446574722,0.011619951335119665,0.0005351903085386077,1.0123666666666682,0.009000000000000008,0.17490178139178036
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Roadways,0.0004634583860240801,0.003619972442791416,0.0029295694555468263,3.4336239916532134e-05,6.2489000000000035,0.0025000000000000577,0.9999823788265191
2,300,64,20,100,0,0.5,0,Hillshade_9am,0.00013989501312341586,0.002740940419412896,0.002353262363041873,2.269745499971289e-05,0.045666666666666425,0.0008333333333333526,1.0
2,300,64,20,100,0,0.5,0,Hillshade_Noon,0.00016602150537635445,0.002681688933711342,0.0021145211087475694,1.7960161224693465e-05,0.039066666666667,0.0010666666666666602,1.0
2,300,64,20,100,0,0.5,0,Hillshade_3pm,3.7768817204294226e-05,0.0011839220654692505,0.0020611546465753874,1.705135998343951e-05,0.04829999999999958,0.0012999999999999678,1.0
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002274325015102942,0.0008333457700702902,0.003633797523264265,5.279848969325439e-05,16.77026666666667,0.004366666666666741,0.9360327634509268
2,300,64,20,100,0,0.5,0,Cover_Type,0.004227777777777793,0.0007178515945533622,0.010267055960050774,0.0004201203842236708,0.028899999999999926,0.011366666666666636,0.04115018947623861
2,300,64,20,101,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,101,0,0.5,0,Elevation,0.0003011581067470815,0.0020624101314793775,0.003292646400191773,4.311786288896117e-05,0.9289666666666642,0.0023999999999999577,0.9999939190868573
2,300,64,20,101,0,0.5,0,Aspect,0.000784166666666645,0.00475009196628384,0.005335825873233699,0.0001135449926076953,0.7333000000000006,0.004566666666666663,0.9117198611828827
2,300,64,20,101,0,0.5,0,Slope,0.0020502732240436938,0.006172123590822975,0.005806997964352575,0.00013448945136650722,0.12506666666666663,0.006933333333333347,0.464538979519438
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0020660709853561653,0.003218137684588469,0.006671325819988467,0.0001778650094226504,2.8786000000000023,0.008400000000000019,0.239076305305993
2,300,64,20,101,0,0.5,0,Vertical_Distance_To_Hydrology,0.00014633333333332897,0.0013645893666146454,0.002587870762668505,2.6565796493723597e-05,0.11536666666666531,0.0016666666666666774,0.9999999999975201
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Roadways,0.0005158259566296576,0.0028817793391483076,0.002096752236222376,1.7599972368750004e-05,5.948333333333335,0.0017000000000000348,0.9999999999924895
2,300,64,20,101,0,0.5,0,Hillshade_9am,2.585301837266647e-05,0.00026055164816263075,0.0018837709013012328,1.422103255250591e-05,0.029566666666666443,0.0006999999999999229,1.0
2,300,64,20,101,0,0.5,0,Hillshade_Noon,0.0005105376344084972,0.002125492424766843,0.002164444718384354,1.872651594153911e-05,0.08006666666666654,0.002266666666666639,0.999998830138968
2,300,64,20,101,0,0.5,0,Hillshade_3pm,0.0009991935483870315,0.0084167573709183,0.004751860812055758,8.848790875662112e-05,0.2593333333333333,0.002799999999999997,0.9997803397841436
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002257298201589308,0.0009377432780309031,0.004109370096814883,6.750576407415883e-05,16.608266666666665,0.004833333333333356,0.8730103808279996
2,300,64,20,101,0,0.5,0,Cover_Type,0.004444444444444473,0.0010768472967331991,0.010580979045452308,0.00044612652842354844,0.029266666666666774,0.011833333333333362,0.029728559447209535
2,300,64,20,102,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,102,0,0.5,0,Elevation,0.0005852970795567506,0.0032283852605675687,0.0037224594185559685,5.538418343921667e-05,1.432266666666667,0.003933333333333344,0.9737460203154992
2,300,64,20,102,0,0.5,0,Aspect,0.0010841666666666565,0.004689244673899715,0.005518791757574091,0.0001214647858038478,0.7796333333333331,0.0050000000000000044,0.845602274258741
2,300,64,20,102,0,0.5,0,Slope,0.002126775956284137,0.005267574413186535,0.006440966508188735,0.00016547720579545273,0.13000000000000078,0.007866666666666688,0.30962700518367703
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0019745594440307842,0.0006423666083167815,0.006881877888980649,0.00018925170733745465,2.7570999999999986,0.009066666666666667,0.16869881352843796
2,300,64,20,102,0,0.5,0,Vertical_Distance_To_Hydrology,6.485714285714397e-05,5.706226788408311e-05,0.003657685762342135,5.27746471525778e-05,0.14359999999999978,0.0017333333333333367,0.9999999999786574
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Roadways,0.00022894009648258477,0.002050155573047862,0.002227977038904647,1.985024785003721e-05,4.449833333333336,0.0014666666666666162,0.9999999999999994
2,300,64,20,102,0,0.5,0,Hillshade_9am,2.0734908136499887e-05,0.0005038349892644642,0.002444987742746936,2.3646098164355358e-05,0.033266666666666264,0.0006333333333333746,1.0
2,300,64,20,102,0,0.5,0,Hillshade_Noon,0.00012150537634408553,0.0009597708179849409,0.003172450123238822,4.039376761320513e-05,0.04463333333333294,0.0017333333333333645,0.9999999999786574
2,300,64,20,102,0,0.5,0,Hillshade_3pm,0.0010635752688172135,0.008547712637428663,0.004612918388499448,8.385540415800535e-05,0.2690999999999999,0.002999999999999989,0.9992192772094372
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0019188603829708127,9.572667496193458e-05,0.003939442609892353,6.196760527044738e-05,14.71286666666667,0.00446666666666673,0.9244090299438615
2,300,64,20,102,0,0.5,0,Cover_Type,0.004783333333333362,0.000547276175621697,0.011302254257623455,0.0005089078109269977,0.03316666666666662,0.012199999999999989,0.022816575340663624
2,300,64,20,103,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,103,0,0.5,0,Elevation,0.0006414065122523599,0.0021147724971751903,0.004415891843177481,7.803148876097009e-05,1.7092999999999998,0.0040999999999999925,0.9616640472856633
2,300,64,20,103,0,0.5,0,Aspect,0.0012613888888888406,0.003938322915336524,0.004946040213266844,9.769306225420097e-05,0.678366666666667,0.004766666666666641,0.8833154394784187
2,300,64,20,103,0,0.5,0,Slope,0.0018874316939890598,0.004697537516850641,0.005780855636575533,0.00013319124128980937,0.11540000000000039,0.0071666666666666545,0.4222370581402646
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0020596674112683014,0.0043932110408215885,0.006276306210982772,0.00015728731998349162,2.777933333333332,0.007866666666666688,0.30962700518367703
2,300,64,20,103,0,0.5,0,Vertical_Distance_To_Hydrology,3.33809523809541e-05,0.002227760102622856,0.0029928547324547298,3.651643037565515e-05,0.10783333333333263,0.0016666666666667052,0.9999999999975201
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Roadways,0.000687298018828183,0.0035989042215517656,0.0028850527398751736,3.329174531922138e-05,7.298966666666669,0.002266666666666639,0.999998830138968
2,300,64,20,103,0,0.5,0,Hillshade_9am,3.267716535429651e-05,0.0009238542406182757,0.0023312010887089406,2.1884072203732897e-05,0.035033333333332806,0.0008333333333333526,1.0
