gamma,k,fingerprint_length,n_recipients,sk,vote_error,tp,tn
32,300,64,20,102,0.020333468889792598,1.0,0.578125
32,300,64,20,102,0.020333468889792598,1.0,0.453125
32,300,64,20,102,0.020333468889792598,1.0,0.53125
32,300,64,20,102,0.020333468889792598,1.0,0.484375
32,300,64,20,102,0.020333468889792598,1.0,0.34375
32,300,64,20,102,0.020333468889792598,1.0,0.484375
32,300,64,20,102,0.020333468889792598,1.0,0.375
32,300,64,20,102,0.020333468889792598,1.0,0.53125
32,300,64,20,102,0.020333468889792598,1.0,0.609375
32,300,64,20,102,0.020333468889792598,1.0,0.546875
32,300,64,20,102,0.020333468889792598,1.0,0.5
32,300,64,20,102,0.020333468889792598,1.0,0.59375
32,300,64,20,102,0.020333468889792598,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.53125
32,300,64,20,103,0.020697167755991286,1.0,0.546875
