gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
4,300,128,20,100,0,tardos,0.25,0,0.1,1.0,0.875,0.14516108530184904,0.013647406117518131,0.009668362263601798,0.0016171983005598969,0.009142651653569672,0.026307466594731717,,,0.006041170443132467,
4,300,128,20,100,0,tardos,0.25,1,0.1,1.0,0.875,0.1425940530909425,0.010685445874164392,0.009668362263601798,0.0016171983005598969,0.009142651653569672,0.026307466594731717,0.0008930614602578827,0.026553852102865354,0.006041170443132467,0.04333935415473288
4,300,128,20,100,0,tardos,0.25,2,0.1,1.0,0.875,0.14481925290179942,0.013252984117460866,0.009668362263601798,0.0016171983005598969,0.009142651653569672,0.026307466594731717,0.0008930614602578827,0.026553852102865354,,0.04333935415473288
4,300,128,20,100,0,tardos,0.25,0,0.2,1.0,0.8125,0.20931105372127942,0.01163881715159928,0.009668362263601798,0.0016171983005598969,0.009142651653569672,0.026307466594731717,,,0.006041170443132467,
4,300,128,20,100,0,tardos,0.25,1,0.2,1.0,0.8125,0.20826112957739998,0.010326411971749945,,,0.009142651653569672,0.026307466594731717,0.0008930614602578827,,0.006041170443132467,0.04333935415473288
4,300,128,20,100,0,tardos,0.25,2,0.2,1.0,0.8125,0.20563849425820765,0.00704811782275955,0.009668362263601798,0.0016171983005598969,0.009142651653569672,0.026307466594731717,0.0008930614602578827,0.026553852102865354,,0.04333935415473288
4,300,128,20,100,0,tardos,0.25,0,0.3,1.0,0.75,0.27563007396631567,0.012222828135884996,0.009668362263601798,0.0016171983005598969,0.009142651653569672,0.026307466594731717,,,0.006041170443132467,
4,300,128,20,100,0,tardos,0.25,1,0.3,1.0,0.75,0.27478952267966245,0.01107662183590335,,,0.009142651653569672,0.026307466594731717,0.0008930614602578827,,,0.04333935415473288
4,300,128,20,100,0,tardos,0.25,2,0.3,1.0,0.75,0.27205611440828803,0.007349246920392763,,0.0016171983005598969,,,0.0008930614602578827,0.026553852102865354,,
4,300,128,20,100,0,tardos,0.25,0,0.4,1.0,0.625,0.40842957052018486,0.014049284200308135,0.009668362263601798,0.0016171983005598969,0.009142651653569672,,,,0.006041170443132467,
4,300,128,20,100,0,tardos,0.25,1,0.4,1.0,0.625,0.4080077797066616,0.01334629951110265,,,0.009142651653569672,0.026307466594731717,,,,
4,300,128,20,100,0,tardos,0.25,2,0.4,1.0,0.625,0.40477528126909534,0.007958802115158961,,0.0016171983005598969,,,,0.026553852102865354,,
4,300,128,20,100,0,tardos,0.25,0,0.5,1.0,0.5,0.5358976384098623,0.0054949394497047065,0.009668362263601798,0.0016171983005598969,0.009142651653569672,,,,,
4,300,128,20,100,0,tardos,0.25,1,0.5,1.0,0.5,0.5407444201017781,0.01588090021809618,,,,,,,,
4,300,128,20,100,0,tardos,0.25,2,0.5,1.0,0.5,0.5378355188822148,0.009647540461888785,,,,,,0.026553852102865354,,
4,300,128,20,100,0,tardos,0.25,0,0.6,1.0,0.4375,0.6015647148963197,0.0039117872407992025,,,0.009142651653569672,,,,,
4,300,128,20,100,0,tardos,0.25,1,0.6,1.0,0.4375,0.6073726121074934,0.018431530268733606,,,,,,,,
4,300,128,20,100,0,tardos,0.25,2,0.6,1.0,0.4375,0.6044049493759448,0.011012373439862022,,,,,,,,
4,300,128,20,100,0,tardos,0.25,0,0.7,1.0,0.375,0.6676640665035087,0.0029921995105261123,,,0.009142651653569672,,,,,
4,300,128,20,100,0,tardos,0.25,1,0.7,1.0,0.375,0.6737400630539585,0.021220189161875493,,,,,,,,
4,300,128,20,100,0,tardos,0.25,2,0.7,0.9921875,0.375,0.6706944324973666,0.012083297492099725,,,,,,,,
4,300,128,20,100,0,tardos,0.25,0,0.8,0.9765625,0.25,0.8005539317706005,0.0027696588530025396,,,,,,,,
