gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
8,300,128,20,100,0,tardos,0.125,0,0.3,0.9765625,0.7,0.18833959276997658,0.15886348916027793,0.27723000017136634,0.19216247869414196,0.32330901388904554,0.5048548511704113,0.7862290155006072,0.6371426458355787,0.695340983231741,0.7902934904544894
8,300,128,20,100,0,tardos,0.125,1,0.3,0.984375,0.7,0.18904994204686912,0.1599047373162331,0.2730460057939674,0.186268856170733,0.3219652448675333,0.5208910605688256,0.7851865282147278,0.6334471879469397,0.6895240869703756,0.8001211155609863
8,300,128,20,100,0,tardos,0.125,2,0.3,0.96875,0.7,0.18897572136453566,0.16009642284813094,0.2619846678325264,0.19878796711818103,0.31911038911639433,0.5102515873152349,0.7853295662110629,0.6382019890583329,0.6883120532441344,0.7946944845800746
8,300,128,20,100,0,tardos,0.125,0,0.35,0.9609375,0.65,0.2099233581854168,0.19465686927540546,0.31847273301462753,0.23436609812316622,0.36378893955860336,0.5754992384561408,0.8337908704177442,0.7066260390567084,0.7416550663687759,0.8621676663994604
8,300,128,20,100,0,tardos,0.125,1,0.35,0.9921875,0.65,0.2102521917750864,0.19530758710489415,0.31450864044264265,0.21751103539900374,0.3667830269742715,0.5643303311721128,0.8297986629788036,0.7112511637220285,0.7393024445881793,0.8690168091795984
8,300,128,20,100,0,tardos,0.125,2,0.35,0.9609375,0.65,0.21060512603958778,0.19540192113337954,0.314204520136658,0.241200710180587,0.3695219919000507,0.5581894125201222,0.8328632624722224,0.7104239683318737,0.7403230073248658,0.8547756907988096
8,300,128,20,100,0,tardos,0.125,0,0.4,0.9140625,0.6,0.23056106949124294,0.23162817326738547,0.3628271855114367,0.29068497474357413,0.43636287070601476,0.6151104307168437,0.8667077876425073,0.7661717516703671,0.7886874939271442,0.9071730786025598
8,300,128,20,100,0,tardos,0.125,1,0.4,0.9140625,0.6,0.23141806981737104,0.2330285704212753,0.3665379581473314,0.2783066567819221,0.413088839733447,0.6090622204378467,0.864776567445436,0.7825590116746849,0.7922760447860886,0.9003899185800952
8,300,128,20,100,0,tardos,0.125,2,0.4,0.921875,0.6,0.23095433259551182,0.23277425677850386,0.3633948646157532,0.2996319352279087,0.42130861432127925,0.6040473363949819,0.8668274610989177,0.7768530998267866,0.7862624041790975,0.9071421680967755
8,300,128,20,100,0,tardos,0.125,0,0.45,0.9296875,0.55,0.2508092378363801,0.27208682900389525,0.4258332887671892,0.3400788361376686,0.47673729945699833,0.661430990413542,0.8958154629168581,0.822854894945579,0.8269553558256184,0.9326419399194391
8,300,128,20,100,0,tardos,0.125,1,0.45,0.8828125,0.55,0.25087729159543953,0.27277227111650715,0.4238169997695637,0.3499482393793984,0.48532146353124145,0.6795419257423869,0.9000112503987375,0.843184561776897,0.8316182712265269,0.9353411895007756
8,300,128,20,100,0,tardos,0.125,2,0.45,0.8671875,0.55,0.2515392697676916,0.27366913091963757,0.4228964641886765,0.3652841212049318,0.470062936333153,0.6655272223532859,0.8940055738998324,0.8336098206532067,0.8344370809937705,0.9424998908876293
8,300,128,20,100,0,tardos,0.125,0,0.5,0.859375,0.5,0.2699310359733595,0.31543204865903157,0.47652046040156615,0.4186395234028389,0.5392305571735162,0.7054800633217128,0.9269291675361665,0.8627730429254561,0.8677557822355968,0.9498388868479739
