gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
8,300,128,20,101,0,tardos,0.125,0,0.05,1.0,0.95,0.05361024352640437,0.016498457656262875,0.11205198557908423,0.16180453639934805,0.18078586229316293,0.19969535478729128,0.35937657669076356,0.30198616861702626,0.29895273327788674,0.28621976080781325
8,300,128,20,101,0,tardos,0.125,1,0.05,1.0,0.95,0.053556208200877815,0.016630347760615786,0.1101587594196954,0.17223736558970482,0.17158898908259693,0.2006412416671017,0.35641616413542715,0.31350302997508445,0.29237785612762746,0.28787978282731436
8,300,128,20,101,0,tardos,0.125,2,0.05,1.0,0.95,0.05261115350131175,0.015945139560062674,0.11175278412259004,0.16714039790382523,0.18257384945339888,0.1879513926234238,0.34512054942602993,0.30598864228063816,0.27492482239416494,0.30077705832729634
8,300,128,20,101,0,tardos,0.125,0,0.1,1.0,0.9,0.08723504633553184,0.03889250718934024,0.21064840452947664,0.32092516518901903,0.33483854635656984,0.3512470641794179,0.5694523905262862,0.49709588094221974,0.5102901555289167,0.4869795863615622
8,300,128,20,101,0,tardos,0.125,1,0.1,1.0,0.9,0.08694370333668373,0.03903690143733892,0.20713678841548133,0.3149284014786624,0.3151816926966036,0.34855992922242285,0.5744864683063039,0.4967612753178107,0.504263215630103,0.4768820317292928
8,300,128,20,101,0,tardos,0.125,2,0.1,1.0,0.9,0.0867425827116704,0.03895276165874042,0.21123602961819818,0.3106921455448975,0.3420525125340892,0.3447992764089194,0.5608418012981151,0.50743423836121,0.47616963344256974,0.5088279382149473
8,300,128,20,101,0,tardos,0.125,0,0.15,0.984375,0.85,0.11504378045252829,0.06358997899851675,0.29942580314354894,0.44616236015344757,0.463569937803321,0.4893156392723477,0.7133843224412223,0.6430817937640326,0.6510561287840104,0.6275038542499447
8,300,128,20,101,0,tardos,0.125,1,0.15,0.9921875,0.85,0.11513345166711139,0.06428727384254303,0.2981229112077731,0.43924456885019386,0.4474611452901663,0.4680167081685707,0.7083560909630153,0.6481960672165085,0.6378328137065132,0.6232269469498506
8,300,128,20,101,0,tardos,0.125,2,0.15,0.9921875,0.85,0.11501845902188072,0.06409191118566489,0.2993637157499357,0.44369012815252806,0.47290121712101807,0.4714201446750844,0.7058278725462908,0.6410342146833671,0.6185040557224748,0.6400216478801571
8,300,128,20,101,0,tardos,0.125,0,0.2,0.9921875,0.8,0.14047022671640805,0.09122699924024787,0.3850061186519725,0.556299681347195,0.5696263760853444,0.6075674280214742,0.8007332386872954,0.7522294793058109,0.7442621779313363,0.7323911689477601
8,300,128,20,101,0,tardos,0.125,1,0.2,0.9921875,0.8,0.14004999557148007,0.09097299758416941,0.3816967135729799,0.5591799911916318,0.5615889780736878,0.5804536541562493,0.7960565883879772,0.7445144302455545,0.7335671806405346,0.726887857137703
8,300,128,20,101,0,tardos,0.125,2,0.2,0.9765625,0.8,0.1402971631795457,0.091417718466041,0.38539487305319065,0.5546244038443938,0.5811091253938465,0.5949648398552491,0.8025604688642822,0.7405283471403672,0.7252900562153738,0.7419166078664265
8,300,128,20,101,0,tardos,0.125,0,0.25,0.9453125,0.75,0.16346398127679806,0.11989298981034668,0.4612273257782683,0.6564237583403101,0.6741094538195127,0.7131162409539253,0.8634104386844978,0.8238596559853261,0.8184571310211598,0.8208748286501965
8,300,128,20,101,0,tardos,0.125,1,0.25,0.9609375,0.75,0.16307148715232353,0.12003810687651056,0.4574055572805438,0.651115175351987,0.6544345027675447,0.6783973301262298,0.8587686978951296,0.8145626989954226,0.8132909799373543,0.8118056227924306
8,300,128,20,101,0,tardos,0.125,2,0.25,0.9765625,0.75,0.1634797698726707,0.12058908019778962,0.46570018644187455,0.6618694743908254,0.6797854364565864,0.6917502220455216,0.8642001252144494,0.8135420245857735,0.8110771845869247,0.8159350371420016
