gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,accuracy,marital-status-relationship,marital-status-sex,relationship-sex,income-relationship,education-education-num,age-marital-status,education-num-occupation,age-relationship,age-sex
2,300,128,20,100,0,tardos,0.5,0,0.0188118710522813,0.0199178818185737,0.0033469179439977,0.0183469297585728,0.0595070384320896,0.00108641701987,0.0531907601071515,0.010132127171368,0.087056121438532,0.010990167594703728
2,300,128,20,100,1,tardos,0.5,1,0.0188343928831014,0.0194625535626905,0.0025071517782123,0.0177183296132848,0.0574742680675508,0.0012088887169155,0.0532384963713237,0.0097267421648838,0.0862394632539878,0.07615055859811226
2,300,128,20,100,2,tardos,0.5,2,0.0188569147139215,0.0193937392477615,0.0062195920110251,0.0185268307834968,0.0631879947387322,0.0017998649883135,0.0519975992294669,0.0110824961433071,0.085116589406121,0.057409218817492516
2,300,128,20,100,3,tardos,0.5,3,0.0189326699630437,0.0201318700395534,0.0053686564435561,0.0172811950372518,0.057922194322754,0.00108641701987,0.0533521214406891,0.0089605415988134,0.0814625989642426,0.06609571001763372
2,300,128,20,100,4,tardos,0.5,4,0.0188691993489143,0.0199792191734308,0.0048222292543697,0.0193252970926933,0.0566387578180615,0.0011225596350084,0.0552697843438722,0.0107188526653558,0.0813249185518714,0.0516347150921409
2,300,128,20,100,5,tardos,0.5,5,0.0188569147139215,0.019528144481181,0.0028038639172419,0.0193268471687021,0.0574139545257863,0.0011728267047677,0.0543710086788533,0.0103131990573333,0.0862352631547308,0.06969736024045159
2,300,128,20,100,6,tardos,0.5,6,0.0187606850731447,0.0193388465199923,0.0038161823590796,0.0178691559116149,0.0594765369841682,0.0010818736128309,0.0550022494465831,0.0079465646772978,0.0851909029377184,0.045067356877319095
2,300,128,20,100,7,tardos,0.5,7,0.0188036812956195,0.0199813586349413,0.0064241608272981,0.0196103223106664,0.0584050976285785,0.0011363713393546,0.0519099442427237,0.0119383934136111,0.082210879586578,0.06414366587805025
2,300,128,20,100,8,tardos,0.5,8,0.0188917211797344,0.0195670799430174,0.0047346094335981,0.0180642507571966,0.056609692609398,0.0010635921639853,0.0521875536721897,0.0107446047180045,0.0849892758049796,0.07126763461624042
2,300,128,20,100,9,tardos,0.5,9,0.018858962153087,0.0199287404609268,0.0070897554183995,0.0175821825965357,0.0574859398078042,0.001081873612831,0.0561978830010391,0.0101351601404979,0.0860921420771418,0.060179976989361464
2,300,128,20,100,10,tardos,0.5,10,0.018858962153087,0.0189637347601533,0.0064780709119581,0.0183303005240921,0.0561338882464127,0.0018182876616386,0.0514803830151467,0.010359504588242,0.0812011036032024,0.06477560130948978
2,300,128,20,100,11,tardos,0.5,11,0.0189265276455473,0.020083085596485,0.0063594505573005,0.020541146234892,0.0559756665230152,0.0019431100839473,0.0578056940898145,0.009315502329717,0.0883865913922563,0.0741344947646746
2,300,128,20,100,12,tardos,0.5,12,0.0188384877614323,0.0192577493797393,0.005985785512592,0.0180477327788326,0.0544954494078087,0.0010592376896361,0.0521194110258543,0.0084203077586646,0.0821513833142275,0.0930181344551454
2,300,128,20,100,13,tardos,0.5,13,0.0188466775180942,0.0200694651190158,0.0066889780108501,0.0190659356151697,0.0580830154794649,0.00108641701987,0.0482764352134778,0.0097037355430853,0.0817391637126056,0.06572845398523973
2,300,128,20,100,14,tardos,0.5,14,0.0188630570314179,0.0203753039168418,0.0052203623572696,0.0176994116594863,0.0595010583986039,0.0010820609385741,0.0490363172789925,0.0111725430507079,0.0847506649543346,0.07426115573534205
2,300,128,20,100,15,tardos,0.5,15,0.0188302980047705,0.0197059302253155,0.0031487224678485,0.0182955576623526,0.0597671783319259,0.0019879788584486,0.0518933211926338,0.0083976459124845,0.0856802439649412,0.04819287341271051
2,300,128,20,100,16,tardos,0.5,16,0.0189244802063818,0.0199702886487273,0.0032954680891694,0.0168501562182105,0.0588770399563075,0.0010820609385741,0.0527403194100069,0.0072632748969492,0.0893886876507828,0.04397546063205508
2,300,128,20,100,17,tardos,0.5,17,0.0189019583755617,0.0198444517210433,0.0065802522071486,0.0191102015766853,0.0558296608102813,0.0010820609385741,0.0553853468492211,0.010347810496912,0.0827555258459739,0.07347328633908505
2,300,128,20,100,18,tardos,0.5,18,0.0187422581206555,0.019917414282727,0.0051236402941293,0.0172192626762276,0.056784054124601,0.0011815105656574,0.0534217003740907,0.010133751854953,0.0812078772276242,0.04503561404035035
2,300,128,20,100,19,tardos,0.5,19,0.0188651044705834,0.0193211589186907,0.0032077728768826,0.0186159764010469,0.0542602139093461,0.0010124356208423,0.0523736823747093,0.0094801054984382,0.0781353298405792,0.02111670742776836
2,300,128,20,101,0,tardos,0.5,0,0.0187340683639937,0.0194371141396546,0.0054940560272754,0.0169303773189408,0.0513001963034128,0.0009522060884309,0.0574741230360699,0.0078757853005018,0.0744657961972845,0.024210670456055915
2,300,128,20,102,0,tardos,0.5,0,0.018828250565605,0.0220743206372844,0.0022373348756229,0.0204198449070554,0.0612593274495357,0.0020380726621337,0.0421176549414194,0.008259787870347,0.0802026428034978,0.08507286531502865
2,300,128,20,103,0,tardos,0.5,0,0.019225453763705,0.017935075974434,0.006350836397026,0.0154453189307454,0.0619247773854707,0.0019917255178264,0.0555979851151923,0.0104791229918478,0.0784644914588632,0.01957092285403337
2,300,128,20,104,0,tardos,0.5,0,0.0189613341113602,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,0.0591054319805517,0.0006329096122127,0.0667902886330484,0.0011336687794360877
