gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
16,300,128,20,100,0,tardos,0.0625,0,0.35,0.8984375,0.65,0.199997704358897,0.17399477331452587,0.3347905699124831,0.3426842484177869,0.4102743965508484,0.5238434780639822,0.8560878081007977,0.7019563294513714,0.7791728085306279,0.830818006451148
16,300,128,20,100,0,tardos,0.0625,1,0.35,0.890625,0.65,0.20043171149211841,0.17513583310499586,0.3323719993090449,0.3328113371162024,0.40997360583017706,0.5432650556648903,0.8591262166159274,0.6943895314777146,0.7676882579569704,0.8370900824787842
16,300,128,20,100,0,tardos,0.0625,2,0.35,0.890625,0.65,0.20000781696957898,0.17431616657962562,0.3356537110860697,0.34351485171460056,0.4145131925693053,0.5398074305105373,0.8623312024725447,0.7111283832648225,0.7818344456244537,0.8287986522763695
16,300,128,20,100,0,tardos,0.0625,0,0.4,0.8984375,0.6,0.22085461346908883,0.21107405303008486,0.302989762561791,0.2773416089410192,0.3524586714932887,0.46612038957915974,0.8642448388525125,0.6578813154423603,0.7965557770620112,0.8375629351819329
16,300,128,20,100,0,tardos,0.0625,1,0.4,0.859375,0.6,0.22154355272328805,0.2124790157964332,0.30102290587796154,0.2539935619792004,0.3459402200339491,0.4920747977781834,0.8698014865020464,0.6578852906404462,0.7757954262296861,0.8425185633081831
16,300,128,20,100,0,tardos,0.0625,2,0.4,0.8984375,0.6,0.22112546408374723,0.2116328715504659,0.3063506890606562,0.2688640785839435,0.3566148859825039,0.4875208957307668,0.8731179908713032,0.6781315458593926,0.7843321370946285,0.8345228857260463
16,300,128,20,100,0,tardos,0.0625,0,0.45,0.859375,0.55,0.24138491662712727,0.2516358680830506,0.24851518298546849,0.16539783058553947,0.2638382217760057,0.3764390615307803,0.8648002549936814,0.5844108452056079,0.7912390813825203,0.8205020266396914
16,300,128,20,100,0,tardos,0.0625,1,0.45,0.8515625,0.55,0.24191194251084858,0.2524871939426316,0.24921151695103283,0.154500434385952,0.2611765084950636,0.41213142399456704,0.8731437670619754,0.5876158660941293,0.773990911638954,0.8305818709233829
16,300,128,20,100,0,tardos,0.0625,2,0.45,0.84375,0.55,0.2415227266252522,0.2515998042196773,0.24809658809717566,0.1530571512770889,0.26457206487152296,0.4033450698657045,0.8728526670784599,0.6065747119589897,0.7753354537876129,0.826814093309628
16,300,128,20,101,0,tardos,0.0625,0,0.35,0.890625,0.65,0.19993575059406313,0.17422311667050136,0.334733841455278,0.34188525122654834,0.4137261920101538,0.5399913929867028,0.8623312024725447,0.712512262177459,0.7818057289843428,0.8296167186006326
16,300,128,20,101,0,tardos,0.0625,1,0.35,0.875,0.65,0.20012008509831228,0.17387586560899096,0.3361929147824419,0.34003585377589424,0.42379769694999975,0.5188565726534149,0.8601518278546781,0.7009132533409044,0.7818231665778256,0.8407496566357541
16,300,128,20,101,0,tardos,0.0625,2,0.35,0.9296875,0.65,0.20016873091490747,0.17400689383767196,0.3345575347296366,0.3312838353574276,0.417816991474482,0.5434958286659846,0.8571435608515584,0.6914530658574946,0.7929246166317341,0.8372624156944778
16,300,128,20,101,0,tardos,0.0625,0,0.4,0.828125,0.6,0.22106666952211776,0.21155181574277065,0.3053574083237599,0.2671576592823041,0.35578063445487434,0.4873598518563428,0.8731179908713032,0.679509789610522,0.784311923328997,0.8351123560238266
16,300,128,20,101,0,tardos,0.0625,1,0.4,0.8125,0.6,0.22112291787193455,0.21114859407784395,0.3063748563612045,0.2798762324222355,0.3626605743182089,0.4720819914782429,0.8712752338364851,0.6665849524942551,0.7922462038414247,0.8385495724642709
16,300,128,20,101,0,tardos,0.0625,2,0.4,0.890625,0.6,0.22130898426932907,0.21117142610847534,0.30327173514473416,0.2442185338567879,0.34909259453485825,0.4930770513180241,0.8694819292448929,0.6725364849089542,0.7979600471866961,0.8409609462179185
16,300,128,20,101,0,tardos,0.0625,0,0.45,0.8828125,0.55,0.2414734775311445,0.25153271487405715,0.24705209179761128,0.1513048819811546,0.263723776434173,0.4029338352633317,0.8728526670784599,0.6079923576642872,0.7752522765801189,0.8272379940830599
16,300,128,20,101,0,tardos,0.0625,1,0.45,0.8671875,0.55,0.24138706802614146,0.25106691782287704,0.2536626649585514,0.16239642767103404,0.26891148776384904,0.39149248374391177,0.8719494347959104,0.6024485462480026,0.7893125246013457,0.8218231436476375
16,300,128,20,101,0,tardos,0.0625,2,0.45,0.9140625,0.55,0.24162719490400394,0.251502721395689,0.25058188067893794,0.1412804999733963,0.26024323315504116,0.40725722410452475,0.8712099758670518,0.6080218304788142,0.7932276519806776,0.8270255760509178
16,300,128,20,102,0,tardos,0.0625,0,0.35,0.859375,0.65,0.20029305473681605,0.174238049919727,0.3351670113071615,0.3304546527853049,0.41749021491168503,0.54326254502597,0.8571460392550646,0.6913046047225875,0.7915412781567764,0.8379415246696811
16,300,128,20,102,0,tardos,0.0625,1,0.35,0.8984375,0.65,0.20080681673818349,0.17579908883294582,0.33593260052923374,0.33795745447403663,0.415877541021637,0.53341981751179,0.8527969466065478,0.688605744730204,0.7831951907414555,0.8259836881389231
16,300,128,20,102,0,tardos,0.0625,2,0.35,0.890625,0.65,0.19975013355178087,0.1735640237076978,0.33363944756354924,0.3228385767917841,0.4174901458536687,0.5281591713636603,0.8608449010490669,0.7055514898654819,0.7908081025718996,0.8233313084362577
16,300,128,20,102,0,tardos,0.0625,0,0.4,0.875,0.6,0.22141683907675247,0.21139015069982905,0.3039108006588705,0.24342078965251396,0.3488163371934619,0.49281673510396623,0.8694846979299762,0.6723591114025385,0.79666698810536,0.8417609712384522
16,300,128,20,102,0,tardos,0.0625,1,0.4,0.9140625,0.6,0.22158719230785218,0.21273943012030655,0.3057559450892602,0.2623832819567902,0.35288081820945477,0.46848699405893857,0.8645428302406504,0.6557749261468483,0.7913134741450455,0.8356994754472501
16,300,128,20,102,0,tardos,0.0625,2,0.4,0.84375,0.6,0.2206946990740959,0.21037449290084453,0.30118622252088306,0.2452494267196419,0.35294881134834094,0.477258353617029,0.8701142822209939,0.6717624387933824,0.7940964116608846,0.8302148947392869
16,300,128,20,102,0,tardos,0.0625,0,0.45,0.859375,0.55,0.24171797539686332,0.251703995345387,0.2512515358793937,0.14050739941388884,0.25994315793064987,0.407020116946116,0.8712130056242361,0.6078484198745556,0.7919909792726942,0.8279933478659303
16,300,128,20,102,0,tardos,0.0625,1,0.45,0.921875,0.55,0.24177989947666845,0.2521834852809582,0.24828302932500457,0.15192889145815713,0.2664002993744263,0.3798339810415316,0.8697184570596391,0.5957420757221403,0.7775271097989246,0.8202914669945981
16,300,128,20,102,0,tardos,0.0625,2,0.45,0.8359375,0.55,0.24128964618018808,0.25066046846220136,0.25305953360945366,0.13814426570162125,0.26380479837430326,0.3947768981484794,0.8696336032688688,0.603777041653086,0.7874846407518135,0.8202338762739282
16,300,128,20,103,0,tardos,0.0625,0,0.35,0.8671875,0.65,0.19963528710318734,0.17336695095541493,0.33286142688582004,0.32425968588055765,0.4167502554181722,0.5300167471481215,0.8608425518019112,0.7069120276814534,0.7924313399375514,0.8237162397858244
16,300,128,20,103,0,tardos,0.0625,1,0.35,0.8984375,0.65,0.2000601905335684,0.17417024703700174,0.34195256837254784,0.3328867441168306,0.4155078393624811,0.5576552739385946,0.8530368559392336,0.7016081341897172,0.7914454554340066,0.8284364220916636
16,300,128,20,103,0,tardos,0.0625,2,0.35,0.890625,0.65,0.19949799792687362,0.17360874128817788,0.3381184625703633,0.34146740042499263,0.41555459298655856,0.5372084912993594,0.8588395730400046,0.7108095998078696,0.7823570872717608,0.8127170067788786
16,300,128,20,103,0,tardos,0.0625,0,0.4,0.828125,0.6,0.22059355860387786,0.21018257229241674,0.3003873843701602,0.2466606958663064,0.3522119350041692,0.4792007514541962,0.8701116066690345,0.6731655975529178,0.7956114271662709,0.8303894759184433
