gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std
2,300,64,20,104,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0026539569682606386,0.0006549620967914204
2,300,64,20,104,0,0.5,0,Cover_Type,0.004833333333333319,0.0007233603938306318
2,300,64,20,105,0,0.5,0,Id,0.0,0.0
2,300,64,20,105,0,0.5,0,Elevation,0.0010151896609601092,0.0025074199035306933
2,300,64,20,105,0,0.5,0,Aspect,6.712962962964752e-05,0.0002619588731136991
2,300,64,20,105,0,0.5,0,Slope,9.508196721312613e-05,0.00041562162010063704
2,300,64,20,105,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016859022089848502,0.004527068526246647
2,300,64,20,105,0,0.5,0,Vertical_Distance_To_Hydrology,0.0008542380952380922,0.015982229810499852
2,300,64,20,105,0,0.5,0,Horizontal_Distance_To_Roadways,0.0009126879303077413,0.0030579089266821935
2,300,64,20,105,0,0.5,0,Hillshade_9am,0.00011259842519689569,0.0023554487126049317
2,300,64,20,105,0,0.5,0,Hillshade_Noon,0.00024838709677418765,0.0037116158143007637
2,300,64,20,105,0,0.5,0,Hillshade_3pm,3.991935483865962e-05,0.0016360439855005065
2,300,64,20,105,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0023733733035880772,0.0005832998167369045
2,300,64,20,105,0,0.5,0,Cover_Type,0.0041055555555555845,0.0003373130810720989
2,300,64,20,106,0,0.5,0,Id,0.0,0.0
2,300,64,20,106,0,0.5,0,Elevation,0.0004711983887209187,0.003035036162738805
2,300,64,20,106,0,0.5,0,Aspect,0.000312407407407357,7.132603343620808e-05
2,300,64,20,106,0,0.5,0,Slope,0.000179234972677605,0.002494735492711574
2,300,64,20,106,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0014513030528667068,0.0037490720381602336
2,300,64,20,106,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007305238095238106,0.0121748136815309
2,300,64,20,106,0,0.5,0,Horizontal_Distance_To_Roadways,0.0008022059856681164,0.0038530084689987164
2,300,64,20,106,0,0.5,0,Hillshade_9am,0.00010446194225721683,0.0029958368965628166
2,300,64,20,106,0,0.5,0,Hillshade_Noon,0.00019462365591402153,0.0023382572189559886
2,300,64,20,106,0,0.5,0,Hillshade_3pm,3.736559139794383e-05,0.002218480489397802
2,300,64,20,106,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002288103536409712,0.0005593371836176242
2,300,64,20,106,0,0.5,0,Cover_Type,0.004677777777777781,0.00037264343160758445
2,300,64,20,107,0,0.5,0,Id,0.0,0.0
2,300,64,20,107,0,0.5,0,Elevation,0.0007593152064450206,0.0037581472100743436
2,300,64,20,107,0,0.5,0,Aspect,0.00019129629629633074,0.00043525363656006147
2,300,64,20,107,0,0.5,0,Slope,6.721311475408732e-05,0.0009580703769431039
2,300,64,20,107,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0018066021345246935,0.00483474364418788
2,300,64,20,107,0,0.5,0,Vertical_Distance_To_Hydrology,0.000866095238095243,0.014295206143864514
2,300,64,20,107,0,0.5,0,Horizontal_Distance_To_Roadways,0.0007695096248419225,0.0034715526127862737
2,300,64,20,107,0,0.5,0,Hillshade_9am,0.00012952755905516593,0.0019750134073682267
2,300,64,20,107,0,0.5,0,Hillshade_Noon,0.00020021505376348613,0.003141768746663664
2,300,64,20,107,0,0.5,0,Hillshade_3pm,2.5806451612957686e-05,0.001508122829621347
2,300,64,20,107,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002595734002509423,0.0010079191617948099
2,300,64,20,107,0,0.5,0,Cover_Type,0.004216666666666684,0.0007792463330559382
2,300,64,20,108,0,0.5,0,Id,0.0,0.0
2,300,64,20,108,0,0.5,0,Elevation,0.0010044645854312385,0.002887462686126467
2,300,64,20,108,0,0.5,0,Aspect,7.166666666667728e-05,9.360769842322287e-05
2,300,64,20,108,0,0.5,0,Slope,0.00015573770491801928,0.0019803569336610725
2,300,64,20,108,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0015222884090344978,0.002768479882992932
2,300,64,20,108,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009350952380952394,0.016225670866050482
2,300,64,20,108,0,0.5,0,Horizontal_Distance_To_Roadways,0.0010320828064259739,0.004020023617947622
2,300,64,20,108,0,0.5,0,Hillshade_9am,9.33070866141376e-05,0.0017378231187789041
2,300,64,20,108,0,0.5,0,Hillshade_Noon,0.00012731182795699814,0.0018528856701205505
2,300,64,20,108,0,0.5,0,Hillshade_3pm,2.2311827957042303e-05,0.0012616853500117384
2,300,64,20,108,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0018522747339560447,0.00033522279786943354
2,300,64,20,108,0,0.5,0,Cover_Type,0.005499999999999987,0.0020011897772041773
2,300,64,20,109,0,0.5,0,Id,0.0,0.0
2,300,64,20,109,0,0.5,0,Elevation,0.0007223732796240156,0.003211905629438449
2,300,64,20,109,0,0.5,0,Aspect,4.925925925931551e-05,8.1833437636423e-06
2,300,64,20,109,0,0.5,0,Slope,0.00023825136612023602,0.00237277432990778
2,300,64,20,109,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0013415239513527002,0.0024293514762227623
2,300,64,20,109,0,0.5,0,Vertical_Distance_To_Hydrology,0.0009189523809523844,0.013415144753065525
2,300,64,20,109,0,0.5,0,Horizontal_Distance_To_Roadways,0.0004959533511311013,0.0024903795559384025
2,300,64,20,109,0,0.5,0,Hillshade_9am,7.860892388455036e-05,0.0021108745673071617
2,300,64,20,109,0,0.5,0,Hillshade_Noon,0.0002627956989248369,0.0034489705915362713
2,300,64,20,109,0,0.5,0,Hillshade_3pm,6.599462365592731e-05,0.0017011952509327227
2,300,64,20,109,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002007992936474787,0.0014319931087617165
2,300,64,20,109,0,0.5,0,Cover_Type,0.004183333333333354,0.0020397861324345503
2,300,128,20,100,0,0.5,0,Id,0.0,0.0
2,300,128,20,100,0,0.5,0,Elevation,0.0005795904665993647,0.0029763828228126024
2,300,128,20,100,0,0.5,0,Aspect,0.00044620370370367367,0.00020610903476771283
2,300,128,20,100,0,0.5,0,Slope,1.5846994535521022e-05,0.001438187473957422
2,300,128,20,100,0,0.5,0,Horizontal_Distance_To_Hydrology,0.001470836435840163,0.005149129015052718
2,300,128,20,100,0,0.5,0,Vertical_Distance_To_Hydrology,0.001190571428571425,0.019321622591952147
2,300,128,20,100,0,0.5,0,Horizontal_Distance_To_Roadways,0.00047676923797481096,0.0026839508628249136
2,300,128,20,100,0,0.5,0,Hillshade_9am,0.00012847769028872686,0.002356959780288045
2,300,128,20,100,0,0.5,0,Hillshade_Noon,0.00016150537634412984,0.0023731356709694095
2,300,128,20,100,0,0.5,0,Hillshade_3pm,4.583333333325039e-05,0.0009063526977017508
2,300,128,20,100,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0019401459175612673,0.0005250978274307832
2,300,128,20,100,0,0.5,0,Cover_Type,0.004799999999999989,8.572084724638882e-05
2,300,128,20,101,0,0.5,0,Id,0.0,0.0
2,300,128,20,101,0,0.5,0,Elevation,0.0004279624034911434,0.0024945030639959027
2,300,128,20,101,0,0.5,0,Aspect,0.0001413888888889245,0.00045464594833577465
2,300,128,20,101,0,0.5,0,Slope,0.00013114754098362123,0.0015033690223697014
2,300,128,20,101,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0017293373045420633,0.004298949221192014
2,300,128,20,101,0,0.5,0,Vertical_Distance_To_Hydrology,0.0008338095238095227,0.012799803470496111
2,300,128,20,101,0,0.5,0,Horizontal_Distance_To_Roadways,0.0005559786426865438,0.003263535272800116
2,300,128,20,101,0,0.5,0,Hillshade_9am,0.00012073490813646265,0.0018373997946772153
2,300,128,20,101,0,0.5,0,Hillshade_Noon,0.0001494623655914086,0.0018979632236197756
2,300,128,20,101,0,0.5,0,Hillshade_3pm,0.0,0.001077999830603046
2,300,128,20,101,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0024300618058459974,0.0006694690094985126
