gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,Horizontal_Distance_To_Hydrology_Vertical_Distance_To_Hydrology,Elevation_Horizontal_Distance_To_Roadways,Aspect_Hillshade_9am,Slope_Hillshade_Noon,Aspect_Hillshade_3pm,Hillshade_9am_Hillshade_3pm
2,300,64,20,100,0,0.5,0,0.05752861425353817,0.0005578050114918298,0.0009152281760078651,0.027042168898749885,8.848884950507507e-05,0.00035959040626409866
2,300,64,20,101,0,0.5,0,0.06719619526805842,0.000991363569138315,0.00037148065511638517,0.02322011030585791,0.0006413979134212155,5.221762665474916e-05
2,300,64,20,102,0,0.5,0,0.06177600683871498,0.00072842298459741,0.0014273743601330713,0.026732884692968195,0.00021822495319268054,0.0009457132897596754
2,300,64,20,103,0,0.5,0,0.058249127684831925,0.0010789474375380026,0.0008343000449878568,0.025237603111686546,0.0006727302229861953,0.0013238158341919437
2,300,64,20,104,0,0.5,0,0.059389986402511696,0.00017425281138860882,0.00014469201541866816,0.021627911867366345,0.00046509679109030255,0.0008838140061840916
2,300,64,20,105,0,0.5,0,0.05794737149225604,0.00024082753790122258,0.0014189968267729336,0.020926616008001275,0.00028861623614295784,0.00021015711990812758
2,300,64,20,106,0,0.5,0,0.056852230951474514,0.001695477266133616,0.0012255128769864676,0.022426399767440763,0.0007457214936699152,0.0005048304312862406
2,300,64,20,107,0,0.5,0,0.06390293513954892,0.0008537083667353729,0.0008470316496258512,0.021228071095357626,0.00021065388715191258,0.000705043342484335
2,300,64,20,108,0,0.5,0,0.06246915864866365,0.0021506586667313643,0.0006010190069654087,0.020792475824102485,0.0005028484184099735,0.0007440488349710339
2,300,64,20,109,0,0.5,0,0.057050096250397475,0.0017381999319121544,0.0004095038745145496,0.02380646744404802,0.0002657381434233441,0.0005736117163713805
2,300,128,20,100,0,0.5,0,0.05675492849678354,0.0008441861791907979,0.0013256007167902206,0.02610829310526319,5.684865008626083e-06,0.0005175634839849064
2,300,128,20,101,0,0.5,0,0.0649760685240468,0.0010858399672840635,0.0003252671726273748,0.022040360724503216,0.0005355513417909519,0.0001607176892842732
2,300,128,20,102,0,0.5,0,0.06217653700102754,0.0003408644187629095,0.0012580114430306155,0.026061802226874486,0.0005323069884599629,0.0007936840564880532
2,300,128,20,103,0,0.5,0,0.058956176347324085,0.0007252597013518436,8.947820295457376e-05,0.026434953898254454,0.00023166458152001912,0.0005455100867098883
2,300,128,20,104,0,0.5,0,0.06045735415848341,0.0014962760284553678,0.000391646139938584,0.021176015630525735,0.0005020850137349431,0.0004195762942091896
2,300,128,20,105,0,0.5,0,0.05829273340721719,0.0006479406831695345,0.0011878689287796451,0.02104126923451255,0.0002588404563856894,0.0006054715108740893
2,300,128,20,106,0,0.5,0,0.059589443196855774,0.0023029371786678077,0.0014496892774573666,0.02202158331176063,0.00028105127510580363,0.0007732722378867019
2,300,128,20,107,0,0.5,0,0.06863987833180685,0.0006429002061285605,0.0007859493310399257,0.020943993932274307,0.0002267424119528627,0.0007122828192437369
2,300,128,20,108,0,0.5,0,0.063799402102651,0.0026970630069258483,0.0002909784380584757,0.02053937258600147,8.286811712387987e-07,0.0005072190294541645
2,300,128,20,109,0,0.5,0,0.05900753578892881,0.0029616787617993134,2.318365482623097e-05,0.02289978908974455,0.00044602411639238504,0.00016736976469433618
2,300,256,20,100,0,0.5,0,0.05425589420561738,0.0008238790538447338,0.0015154203690836976,0.02548767179289979,0.00012370816327600398,0.00025469149702572746
2,300,256,20,101,0,0.5,0,0.06676639922974315,0.0006946734884687444,0.00011985963336269556,0.023895090969528132,0.0001703343610632846,0.0002682285967348097
2,300,256,20,102,0,0.5,0,0.0615259363126901,0.0011348378129881764,0.0008088877209222467,0.024861318664511578,0.00021687588534335944,0.0008664534752321762
2,300,256,20,103,0,0.5,0,0.05928540196882914,0.0015157049714376036,0.0005139963500433442,0.02710369197035667,0.00020586539656120006,0.0009837358244947358
2,300,256,20,104,0,0.5,0,0.06409424448058287,0.0012419981767484156,0.00014071129639425806,0.021676744658203462,0.00015941216215464848,0.0005175797190796194
2,300,256,20,105,0,0.5,0,0.05901918136688,0.00016880005435893075,0.0008332135808594154,0.021234189945195103,0.00012101248992568703,0.00023240301416882492
2,300,256,20,106,0,0.5,0,0.05664740715109873,0.0029256264990317193,0.0020299329575148573,0.02115219103105348,0.00013303985422330467,0.0008347031026886276
2,300,256,20,107,0,0.5,0,0.06645155205123299,0.0004030994698226431,0.00018109912993380384,0.02109202105824548,0.0006810174934862578,0.0009252055772043244
2,300,256,20,108,0,0.5,0,0.06300324086108189,0.0018498030751675776,0.0004820712444062458,0.022851319322450436,0.000475169404158593,0.0007469979172041175
2,300,256,20,109,0,0.5,0,0.058370538715787346,0.0009485919249407893,0.000854862419696012,0.021525530064395837,8.25999157272328e-06,0.0004195476722628211
2,500,64,20,100,0,0.5,0,0.06138786770499649,0.00014937912225554406,0.0009775340422747414,0.029110110947490497,0.00014889358430392186,3.868244022076084e-05
2,500,64,20,101,0,0.5,0,0.06888293184146443,0.0005024788437175687,0.0005793116991957836,0.02548368909523313,0.001206376168204737,0.0006905651293311887
2,500,64,20,102,0,0.5,0,0.06393663818144524,0.00013716234341720757,0.0016078126887171251,0.02974992713329161,0.00037094117977720664,0.0009398325971096133
2,500,64,20,103,0,0.5,0,0.0628420018332072,0.0019793667547510774,0.0013410252999751515,0.028182422551390807,0.00037523842550135633,0.0004994331370885563
2,500,64,20,104,0,0.5,0,0.06386822321736785,0.00011290470344138548,0.0004727991402264653,0.02461279849833664,0.0009657520005097453,0.0012415012457770436
2,500,64,20,105,0,0.5,0,0.062412246610344946,0.0006638499706286272,0.0014937761690020368,0.024340157122377915,0.0007998654230836344,0.0001781683954353852
2,500,64,20,106,0,0.5,0,0.06087435788263951,0.0012637926489409423,0.0015140588865625304,0.02409312350110404,0.0005558142570530888,8.36983466190322e-06
2,500,64,20,107,0,0.5,0,0.06530953103399317,0.00035901772059276915,0.0001817243973606386,0.023516912404496604,0.0005676667630167831,0.00023666386615028845
2,500,64,20,108,0,0.5,0,0.0678361925249027,0.002801552378231431,0.0006779758927470958,0.02319568413001183,0.00010028788242488762,0.00020677989497475124
2,500,64,20,109,0,0.5,0,0.05945253687111951,0.002089371137120044,0.00035851789247209886,0.026195764934541677,0.0008919515220574548,0.00022196562316356694
2,500,128,20,100,0,0.5,0,0.06004757322506815,0.0012139915494023823,0.0015205176985159108,0.02827327753594766,0.00025876699569582495,0.0002618621189979242
2,500,128,20,101,0,0.5,0,0.06646886687146647,0.0005923991790149907,0.0007434068600673527,0.024813669597815946,0.0008236285971180424,8.347914271278345e-05
2,500,128,20,102,0,0.5,0,0.06422294170182696,0.00012409932171919547,0.0015390850801195732,0.02892283373660609,8.619042457713721e-05,0.000509236829680737
2,500,128,20,103,0,0.5,0,0.06275925884268885,0.0011757822182288935,0.0006179947786882911,0.029544407605709755,0.000385414594160971,7.729014114732369e-05
2,500,128,20,104,0,0.5,0,0.06592790630227763,0.0021872890476970497,0.00018330801021748666,0.023507965851484958,7.951665152816645e-05,0.0002719982546474098
2,500,128,20,105,0,0.5,0,0.06357068666126886,8.646876566020811e-05,0.0009024563508582828,0.023577261638449976,0.00037215910262899943,7.264473603407762e-05
2,500,128,20,106,0,0.5,0,0.06272262174232734,0.001902525644832509,0.0021448370708957443,0.02371545771301231,6.676054372956042e-05,0.00045701652357410527
2,500,128,20,107,0,0.5,0,0.0706470896589656,0.00021348565212864212,0.0005195390182933801,0.023232076870065232,0.0010992390018751408,0.00014705958321192814
2,500,128,20,108,0,0.5,0,0.06749499644864398,0.0032243724691818354,0.0005175763415560253,0.022268483036063547,0.0004518516162629327,0.0001420346898209912
2,500,128,20,109,0,0.5,0,0.06297645624658732,0.003063351433760686,0.00015228563398894668,0.024995383437100394,0.0009423542111829386,9.34055269937728e-05
2,500,256,20,100,0,0.5,0,0.05698575878703205,0.0012218752560514412,0.0016153109300540702,0.02749824560538161,0.0004289333898841452,0.0002455731080688306
2,500,256,20,101,0,0.5,0,0.06960311034003575,0.00029339767300162745,6.489776612916831e-05,0.025788852685913355,0.0007461814322262672,0.0005063399146798542
2,500,256,20,102,0,0.5,0,0.06369236407843737,0.0006067276510213215,0.0008940513374210424,0.027940863762860535,8.491902929752548e-05,0.0009770532159948386
2,500,256,20,103,0,0.5,0,0.06483452628028641,0.002019124966404773,0.0014588759996754241,0.029796725035887484,0.00042555642613240074,0.00037943930041817175
2,500,256,20,104,0,0.5,0,0.0691983286105936,0.001705555069098641,0.00020666806187941145,0.02485504819635309,0.0001012427001240157,6.998234958199845e-05
2,500,256,20,105,0,0.5,0,0.0633574650585137,0.0003215718917746191,0.00118530157501473,0.024195536958454444,0.0007315395264149149,0.0010337139233442816
2,500,256,20,106,0,0.5,0,0.06094396765524701,0.002362244051935858,0.0026172758784270833,0.02330129624262589,0.00041713096081008594,0.0001879115339021853
2,500,256,20,107,0,0.5,0,0.06960311034003575,0.00029339767300162745,6.489776612916831e-05,0.025788852685913355,0.0007461814322262672,0.0005063399146798542
2,500,256,20,108,0,0.5,0,0.06960311034003575,0.00029339767300162745,6.489776612916831e-05,0.025788852685913355,0.0007461814322262672,0.0005063399146798542
2,500,256,20,109,0,0.5,0,0.06960311034003575,0.00029339767300162745,6.489776612916831e-05,0.025788852685913355,0.0007461814322262672,0.0005063399146798542
4,300,64,20,100,0,0.25,0,0.03013663172733505,2.694361721677918e-05,0.0007392442497033969,0.014943588889542725,8.640205137466772e-05,0.00023684368254384136
