gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
16,300,128,20,100,0,tardos,0.0625,0,0.05,0.984375,0.95,0.051100515187240354,0.014770087932889565,0.11765107510895981,0.17977449612979157,0.1716078619488709,0.17609806304267836,0.35892573342013046,0.3087782362829539,0.2950988322142382,0.29955628382213817
16,300,128,20,100,0,tardos,0.0625,1,0.05,0.9609375,0.95,0.05200992977988728,0.015558284866469698,0.11177348564472965,0.17267615025467736,0.17538845874115125,0.17557863913108282,0.37028239811873587,0.30261292620673086,0.30438412151027994,0.30800423184150955
16,300,128,20,100,0,tardos,0.0625,2,0.05,0.984375,0.95,0.051885218134365065,0.015256819063147504,0.11073262832578235,0.1629076060280869,0.17863174650082578,0.19415762509678494,0.35855517675530313,0.2846048192463501,0.29618713819696396,0.27225773391932784
16,300,128,20,100,0,tardos,0.0625,0,0.1,0.9765625,0.9,0.08543068879980201,0.03724381895919295,0.2157398212040426,0.32692692599823514,0.3188495319304441,0.33893025739326665,0.5685925182854595,0.4966028218716473,0.48359999399689124,0.49884774335426046
16,300,128,20,100,0,tardos,0.0625,1,0.1,0.9609375,0.9,0.08553470796178324,0.0377604168842804,0.21357515890405304,0.32704888397903015,0.3332917252588038,0.3336822619848837,0.5796756940788201,0.504094875653821,0.5030877021841414,0.5185167741565256
16,300,128,20,100,0,tardos,0.0625,2,0.1,0.9765625,0.9,0.08568982827183089,0.03737202339554597,0.21015427705310674,0.321145417383437,0.3333046612245085,0.3482828296137904,0.5667156098020572,0.4921943227811462,0.5059598569530607,0.47878409138525424
16,300,128,20,100,0,tardos,0.0625,0,0.15,0.9609375,0.85,0.11388958549265543,0.062399357775831533,0.30717568077530133,0.4589657658407093,0.4523712406823804,0.47103644638917824,0.7106418591703112,0.6290679291190189,0.6306314855957004,0.6437858377866631
16,300,128,20,100,0,tardos,0.0625,1,0.15,0.8984375,0.85,0.11414022322274818,0.0630156474955263,0.3049263435939913,0.4471655670216718,0.4631321720236741,0.474928361445861,0.7138229741840292,0.6365918621983069,0.6502916234172789,0.6553821927382221
16,300,128,20,100,0,tardos,0.0625,2,0.15,0.9609375,0.85,0.11370935086445493,0.06169829440386219,0.3002273081203797,0.44817080908514495,0.4617497907764857,0.4871674818047598,0.7116295598207318,0.643077478427869,0.6496899546817995,0.633073861860434
16,300,128,20,100,0,tardos,0.0625,0,0.2,0.9296875,0.8,0.13935241731288733,0.08995952893759118,0.3914695493523397,0.5771752598641359,0.5635648226423504,0.5839461378928061,0.7984054264789062,0.7338374195625389,0.7327291755719255,0.7595424570771763
16,300,128,20,100,0,tardos,0.0625,1,0.2,0.8828125,0.8,0.1394609313619005,0.0904628550996119,0.3878240256103271,0.5523558368706085,0.5759782577663253,0.5915918678843665,0.8035829734634028,0.741093773742327,0.7444040091756993,0.762633441741389
16,300,128,20,100,0,tardos,0.0625,2,0.2,0.90625,0.8,0.13932455450633408,0.08928315332270584,0.38529971741990265,0.5575450766032819,0.5677014876250729,0.6061276429741458,0.7987200340089721,0.7509314145665422,0.7420568850537786,0.7446123017169854
16,300,128,20,100,0,tardos,0.0625,0,0.25,0.9140625,0.75,0.16240411029786533,0.11870522761463051,0.4695993211710881,0.6639221290939179,0.6633026378629727,0.6819542241281529,0.8650516347617697,0.8077643695717766,0.8137529269257382,0.8261699894122231
16,300,128,20,100,0,tardos,0.0625,1,0.25,0.84375,0.75,0.1623860109274527,0.11903122435146059,0.4644694731478248,0.6488151292599205,0.6762637142665957,0.6839404113592898,0.8685238426605538,0.8149387788806651,0.8264144305471971,0.8411461443714673
16,300,128,20,100,0,tardos,0.0625,2,0.25,0.8671875,0.75,0.16239675809970294,0.11794633547665884,0.46122933061468613,0.6574413299707798,0.6729898359668403,0.7115366824221924,0.8622814516744661,0.8264313489179552,0.8176572411511336,0.8301185437452023
16,300,128,20,100,0,tardos,0.0625,0,0.3,0.828125,0.7,0.18440088466352642,0.14985408004857742,0.5434453366665967,0.7439648066569646,0.7567858384330914,0.7609121142916414,0.9098258667293219,0.8637007890028229,0.8718654788860467,0.8781457104889595
16,300,128,20,100,0,tardos,0.0625,1,0.3,0.796875,0.7,0.18417779668218823,0.14979189104384766,0.5388894373755225,0.7416163660543201,0.753043319461835,0.7592810321261799,0.9138572048772895,0.8630526327969151,0.8816539262705221,0.8874751062986869
16,300,128,20,100,0,tardos,0.0625,2,0.3,0.8515625,0.7,0.1842478858478172,0.14858509179135018,0.5339266404285208,0.7455272935565407,0.7640752805718345,0.7964081969146354,0.9055332472371463,0.881046667909998,0.8710012183158128,0.8888055531198193
16,300,128,20,100,0,tardos,0.0625,0,0.35,0.75,0.65,0.2050465851606247,0.18300906057240027,0.6095840547829485,0.8199698813687553,0.8387038483616488,0.8361455387962594,0.9374188027983714,0.9020443627624078,0.9146146998535948,0.9187336262935399
16,300,128,20,100,0,tardos,0.0625,1,0.35,0.6875,0.65,0.20473980560056756,0.1823195016149372,0.6078441668865908,0.8174686976076649,0.8272692045126552,0.8236055264699503,0.9419482902629314,0.9000269889078395,0.9188031227538265,0.922225674979026
16,300,128,20,100,0,tardos,0.0625,2,0.35,0.8203125,0.65,0.20480964474400373,0.1813916098248667,0.6078317285593905,0.8344408979341164,0.8429876941349601,0.8709736904017213,0.9355783822404363,0.918822994606273,0.9077168030462192,0.9264983840514543
16,300,128,20,100,0,tardos,0.0625,0,0.4,0.6953125,0.6,0.2248608841730096,0.2175937943098841,0.6723633096527145,0.8847733518889207,0.9032568434615216,0.904866554633873,0.9590881807256315,0.9307035504971916,0.9429796252617987,0.9454317056658295
16,300,128,20,100,0,tardos,0.0625,1,0.4,0.671875,0.6,0.22478361094288396,0.21736286977279623,0.673652643740611,0.8864608597722046,0.8866129684573917,0.8814437732680658,0.9620420771852338,0.9323618897840613,0.9449815048709367,0.949880282960745
16,300,128,20,100,0,tardos,0.0625,2,0.4,0.796875,0.6,0.2246630458305037,0.21632229701322092,0.6733735797580068,0.9026565554624538,0.9058841542536195,0.9161202387564569,0.9565258764175455,0.9449589125419287,0.9380488835513984,0.9525961383403917
16,300,128,20,100,0,tardos,0.0625,0,0.45,0.6484375,0.55,0.24417127690549703,0.2552898332898478,0.7281889163648463,0.9500318111352695,0.9640726102843313,0.9560173426219981,0.9743596103336093,0.9547427452016589,0.9650132193927546,0.9591141756826597
16,300,128,20,100,0,tardos,0.0625,1,0.45,0.6171875,0.55,0.24422327016224285,0.2548976582119187,0.7346445493965176,0.9458050316886399,0.9464405492978109,0.9319754089900131,0.9756071731815961,0.9566518692033528,0.9638908934781477,0.9681900520901942
16,300,128,20,100,0,tardos,0.0625,2,0.45,0.7265625,0.55,0.24403912339775996,0.2536333986752681,0.7353073437031421,0.9613164933657294,0.9632117354930716,0.9619109994571513,0.9725749496586782,0.964545477919898,0.9555929627871527,0.969309915095206
16,450,128,20,100,0,tardos,0.0625,0,0.05,0.9921875,0.95,0.051082575533623345,0.014872770549668821,0.11802620408228946,0.18073232197667632,0.17208970023961342,0.17627333804564593,0.3599322290982497,0.30855143089645926,0.29568027450150236,0.29916283322737686
