l,g,x,sk,embedding_ratio,accuracy,marital-status-relationship,marital-status-sex,relationship-sex,income-relationship,education-education-num,age-marital-status,education-num-occupation,age-relationship,age-sex,fingerprint_length
128,2,2,4370315727,0.5,0.022902654504878,0.0692837576022181,0.0762810989993329,0.0826655932414434,0.0333736910382689,0.1328726180697917,0.0762717631480858,0.1007520252967565,0.0717868751754293,0.058809904252898504,128
128,2,2,4370315728,0.5,0.0228576108432378,0.0702285629412695,0.0828422622101403,0.081006632763589,0.0364097048002202,0.13363048923904,0.0738840076437842,0.0975608974803642,0.0694485359053468,0.08150746756196178,128
128,2,2,4370315729,0.5,0.0228064248641012,0.0690324222679177,0.0815095980285247,0.0859035504088082,0.0374002403601253,0.1276806726949428,0.0720334823076635,0.0955273909378666,0.0735902629397065,0.06665965052867023,128
128,2,2,4370315730,0.5,0.0230091213414821,0.0681007856343527,0.07884540473391,0.0817634719612025,0.0384798504012036,0.1401190924350603,0.0750316596558689,0.0889475928357844,0.0758359577128435,0.027012473995219,128
128,2,2,4370315731,0.5,0.0230418803681295,0.0727276144044039,0.0887001105145402,0.0892430168168943,0.0344570740160157,0.1400574386049841,0.0742088588488768,0.0858481812886706,0.0752525898959101,0.09454517983665504,128
128,2,2,4370315732,0.5,0.0230992086647625,0.0683031114846063,0.0779065026643896,0.0827779724315878,0.0332959341518258,0.1371321407859972,0.0793565444358376,0.0878752354944873,0.0620120445047033,0.10607846385296753,128
128,2,2,4370315733,0.5,0.023127872813079,0.066987811150263,0.087345089557099,0.0791487871274145,0.0344385102902408,0.1405648591814711,0.0752208382282782,0.0933839245685398,0.0680746483308882,0.1321688546961369,128
128,2,2,4370315734,0.5,0.0229517930448491,0.0649738149085171,0.0806943667474335,0.0754684259825627,0.03367984470159,0.1311250702363502,0.0697668503639508,0.0951640746441278,0.0554084295782341,0.11386822592544704,128
128,2,2,4370315735,0.5,0.0228821801132233,0.067230140190299,0.0840624234950788,0.0829615028902484,0.03451168831102,0.1398102137888466,0.0781076987559494,0.093186003189694,0.0719457983287675,0.08327742326374772,128
128,2,2,4370315736,0.5,0.0229968367064893,0.0726278016934632,0.0784001326601612,0.078589573118122,0.0312275306240335,0.1377083495553196,0.0800318970520928,0.0904266261100024,0.0727510456248618,0.034728039363908086,128
128,4,2,4370315727,0.25,0.0111503536951158,0.0353546795574871,0.038359247468665,0.0395139594300894,0.0163160362003485,0.0699123841122658,0.0383858467616431,0.0531619037707844,0.0360146961158238,0.01930877902598489,128
128,4,2,4370315728,0.25,0.0114738490832591,0.037081282843635,0.0424789847947953,0.0421746066865498,0.0169785965497305,0.0771089014475244,0.0394146511945008,0.0595327813078676,0.0408374623298825,0.044749195344157756,128
