gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
8,300,128,20,100,0,tardos,0.125,0,0.1,1.0,0.875,0.13961371206125783,0.00724659083991288,0.005446267486036222,0.0006078992636636165,0.004366879977890224,0.013240578954958877,,,0.004413700012309946,
8,300,128,20,100,0,tardos,0.125,1,0.1,1.0,0.875,0.13840313012389677,0.005849765527573208,0.005446267486036222,0.0006078992636636165,0.004366879977890224,0.013240578954958877,8.788330819952903e-05,0.012719177583107142,0.004413700012309946,0.02117692005527535
8,300,128,20,100,0,tardos,0.125,2,0.1,1.0,0.875,0.139448798617727,0.007056306097377321,0.005446267486036222,0.0006078992636636165,0.004366879977890224,0.013240578954958877,8.788330819952903e-05,0.012719177583107142,,0.02117692005527535
8,300,128,20,100,0,tardos,0.125,0,0.2,1.0,0.8125,0.20507543905911382,0.006344298823892265,0.005446267486036222,0.0006078992636636165,0.004366879977890224,0.013240578954958877,,,0.004413700012309946,
8,300,128,20,100,0,tardos,0.125,1,0.2,1.0,0.8125,0.20441802832959735,0.0055225354119966714,,,0.004366879977890224,0.013240578954958877,8.788330819952903e-05,,0.004413700012309946,0.02117692005527535
8,300,128,20,100,0,tardos,0.125,2,0.2,1.0,0.8125,0.20300564943195554,0.0037570617899444197,0.005446267486036222,0.0006078992636636165,0.004366879977890224,0.013240578954958877,8.788330819952903e-05,0.012719177583107142,,0.02117692005527535
8,300,128,20,100,0,tardos,0.125,0,0.3,1.0,0.75,0.2715525576630609,0.006662578631446648,0.005446267486036222,0.0006078992636636165,0.004366879977890224,0.013240578954958877,,,0.004413700012309946,
8,300,128,20,100,0,tardos,0.125,1,0.3,1.0,0.75,0.2709945682330037,0.005901683954095957,,,0.004366879977890224,0.013240578954958877,8.788330819952903e-05,,,0.02117692005527535
8,300,128,20,100,0,tardos,0.125,2,0.3,1.0,0.75,0.2695505380960546,0.003932551949165346,,0.0006078992636636165,,,8.788330819952903e-05,0.012719177583107142,,
8,300,128,20,100,0,tardos,0.125,0,0.4,1.0,0.625,0.4045932279944039,0.007655379990673131,0.005446267486036222,0.0006078992636636165,0.004366879977890224,,,,0.004413700012309946,
8,300,128,20,100,0,tardos,0.125,1,0.4,1.0,0.625,0.40424078098622096,0.007067968310368182,,,0.004366879977890224,0.013240578954958877,,,,
8,300,128,20,100,0,tardos,0.125,2,0.4,0.9921875,0.625,0.4025556912858825,0.004259485476470844,,0.0006078992636636165,,,,0.012719177583107142,,
8,300,128,20,100,0,tardos,0.125,0,0.5,1.0,0.5,0.5348060381387183,0.0031557960115392255,0.005446267486036222,0.0006078992636636165,0.004366879977890224,,,,,
8,300,128,20,100,0,tardos,0.125,1,0.5,0.9921875,0.5,0.5372627882542671,0.00842026054485791,,,,,,,,
8,300,128,20,100,0,tardos,0.125,2,0.5,0.984375,0.5,0.5357444397489622,0.005166656604918972,,,,,,0.012719177583107142,,
8,300,128,20,100,0,tardos,0.125,0,0.6,1.0,0.4375,0.6008209363444189,0.0020523408610471556,,,0.004366879977890224,,,,,
8,300,128,20,100,0,tardos,0.125,1,0.6,0.984375,0.4375,0.6039217617989199,0.009804404497299605,,,,,,,,
8,300,128,20,100,0,tardos,0.125,2,0.6,0.984375,0.4375,0.6023346931720934,0.005836732930233728,,,,,,,,
8,300,128,20,100,0,tardos,0.125,0,0.7,1.0,0.375,0.6671977710064939,0.001593313019481519,,,0.004366879977890224,,,,,
8,300,128,20,100,0,tardos,0.125,1,0.7,0.9296875,0.375,0.6704326572118359,0.011297971635507945,,,,,,,,
8,300,128,20,100,0,tardos,0.125,2,0.7,0.9453125,0.375,0.6688102570377742,0.00643077111332261,,,,,,,,
8,300,128,20,100,0,tardos,0.125,0,0.8,0.8984375,0.25,0.8002889226862601,0.0014446134313005263,,,,,,,,
8,300,128,20,100,0,tardos,0.125,1,0.8,0.921875,0.25,0.803437810401664,0.017189052008319505,,,,,,,,
8,300,128,20,100,0,tardos,0.125,2,0.8,1.0,0.25,0.8014811145735606,0.007405572867803317,,,,,,,,
8,300,128,20,100,0,tardos,0.125,0,0.9,0.3828125,0.125,0.9334234600965936,0.0013519014489045268,,,,,,,,
