gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,128,20,100,3,avg,1,0.125,[ 3 15 18],"[70.70101242 70.70101242 68.62157088 80.40507294 72.78045396 65.84898215
 63.07639343 68.62157088 65.84898215 67.23527651 65.84898215 65.84898215
 67.92842369 62.38324625 68.62157088 72.78045396 65.84898215 67.92842369
 77.63248422 67.23527651]",2,2,1.0,0,0.0,0.6666666666666667
8,300,128,20,100,3,avg,1,0.125,[11  4  9],"[72.78045396 67.23527651 70.70101242 67.23527651 77.63248422 72.08730678
 70.70101242 74.8598955  69.31471806 76.24618986 67.92842369 79.01877858
 64.46268779 68.62157088 66.54212933 67.92842369 67.92842369 72.78045396
 65.84898215 67.92842369]",4,3,0.75,1,0.25,1.0
8,300,128,20,100,3,avg,1,0.125,[18 19 10],"[68.62157088 67.23527651 67.92842369 70.00786524 69.31471806 67.92842369
 63.76954061 67.92842369 69.31471806 72.08730678 76.24618986 65.15583497
 68.62157088 67.23527651 63.76954061 63.76954061 67.92842369 68.62157088
 78.3256314  74.8598955 ]",3,3,1.0,0,0.0,1.0
8,300,128,20,100,3,avg,1,0.125,[19  6  9],"[72.08730678 66.54212933 74.16674832 65.15583497 67.23527651 70.00786524
 76.24618986 68.62157088 69.31471806 79.71192576 65.84898215 67.23527651
 65.15583497 66.54212933 65.84898215 65.84898215 64.46268779 66.54212933
 66.54212933 72.78045396]",3,2,0.6666666666666666,1,0.3333333333333333,0.6666666666666667
8,300,128,20,100,3,avg,1,0.125,[ 1  7 17],"[72.78045396 78.3256314  73.47360114 72.78045396 76.24618986 72.08730678
 67.92842369 81.79136731 73.47360114 69.31471806 70.70101242 72.08730678
 71.3941596  70.00786524 70.70101242 67.92842369 72.08730678 76.93933704
 68.62157088 66.54212933]",4,3,0.75,1,0.25,1.0
8,300,128,20,100,5,avg,1,0.125,[ 5  2  4 11  8],"[74.16674832 71.3941596  76.24618986 72.78045396 76.24618986 76.24618986
 69.31471806 76.24618986 76.24618986 72.08730678 69.31471806 76.24618986
 70.00786524 68.62157088 70.70101242 67.92842369 70.70101242 75.55304268
 67.23527651 66.54212933]",6,5,0.8333333333333334,1,0.1666666666666666,1.0
8,300,128,20,100,5,avg,1,0.125,[17  4 14 10  1],"[74.8598955  74.8598955  72.78045396 74.8598955  75.55304268 71.3941596
 67.23527651 76.93933704 74.16674832 70.00786524 72.78045396 70.00786524
 70.70101242 70.70101242 75.55304268 68.62157088 70.00786524 79.01877858
 66.54212933 67.23527651]",2,1,0.5,1,0.5,0.1999999999999999
8,300,128,20,100,5,avg,1,0.125,[ 5 18  1 16  0],"[76.93933704 75.55304268 72.08730678 72.78045396 73.47360114 74.8598955
 69.31471806 73.47360114 70.70101242 70.70101242 72.08730678 70.70101242
 71.3941596  70.00786524 65.15583497 69.31471806 76.24618986 72.78045396
 72.78045396 69.31471806]",4,4,1.0,0,0.0,0.8
8,300,128,20,100,5,avg,1,0.125,[ 7 14 13  5  9],"[75.55304268 72.78045396 74.8598955  70.00786524 70.70101242 74.8598955
 69.31471806 79.01877858 73.47360114 76.24618986 70.70101242 70.70101242
 70.00786524 74.16674832 73.47360114 67.92842369 66.54212933 72.78045396
 67.23527651 67.92842369]",3,2,0.6666666666666666,1,0.3333333333333333,0.4
8,300,128,20,100,5,avg,1,0.125,[ 5  6 17  8  2],"[74.16674832 70.00786524 76.24618986 70.00786524 70.70101242 79.01877858
 73.47360114 74.8598955  74.8598955  70.70101242 69.31471806 73.47360114
 71.3941596  70.00786524 70.70101242 67.92842369 69.31471806 76.93933704
 65.84898215 67.92842369]",3,3,1.0,0,0.0,0.6
8,300,128,20,100,5,avg,1,0.125,[13 18  2 11  4],"[76.93933704 71.3941596  74.8598955  72.78045396 76.24618986 72.08730678
 69.31471806 77.63248422 72.08730678 72.08730678 69.31471806 74.8598955
 71.3941596  72.78045396 69.31471806 69.31471806 70.70101242 75.55304268
 71.3941596  67.92842369]",4,1,0.25,3,0.75,0.1999999999999999
8,300,128,20,100,5,avg,1,0.125,[ 9 13 15 19 18],"[74.8598955  69.31471806 70.00786524 67.92842369 70.00786524 70.00786524
 67.23527651 68.62157088 72.78045396 76.93933704 68.62157088 70.00786524
 67.92842369 73.47360114 64.46268779 72.78045396 67.23527651 67.92842369
 72.08730678 75.55304268]",3,2,0.6666666666666666,1,0.3333333333333333,0.4
8,300,128,20,100,5,avg,1,0.125,[16 19 15 14  8],"[72.78045396 71.3941596  72.08730678 70.00786524 70.70101242 70.70101242
 66.54212933 72.08730678 79.01877858 72.08730678 70.70101242 70.70101242
 70.00786524 71.3941596  73.47360114 73.47360114 72.08730678 71.3941596
 67.23527651 72.08730678]",1,1,1.0,0,0.0,0.1999999999999999
8,300,128,20,100,5,avg,1,0.125,[ 0 11  6  7  8],"[76.24618986 70.70101242 72.78045396 69.31471806 74.16674832 72.78045396
 74.16674832 81.09822013 74.16674832 71.3941596  67.23527651 75.55304268
 70.70101242 72.08730678 68.62157088 67.23527651 71.3941596  74.8598955
 66.54212933 65.84898215]",3,3,1.0,0,0.0,0.6
8,300,128,20,100,5,avg,1,0.125,[19  7 15  2  9],"[74.8598955  72.08730678 78.3256314  72.08730678 72.78045396 74.16674832
 71.3941596  74.16674832 72.78045396 78.3256314  70.00786524 71.3941596
 69.31471806 69.31471806 71.3941596  71.3941596  68.62157088 72.08730678
 67.92842369 72.78045396]",2,2,1.0,0,0.0,0.4
8,300,128,20,100,10,avg,1,0.125,[11  0  7 10 17  5 12  2 19 14],"[74.8598955  74.8598955  75.55304268 73.47360114 74.16674832 72.08730678
 69.31471806 78.3256314  75.55304268 71.3941596  72.08730678 73.47360114
 74.16674832 70.70101242 71.3941596  68.62157088 72.08730678 78.3256314
 68.62157088 70.00786524]",2,2,1.0,0,0.0,0.1999999999999999
8,300,128,20,100,10,avg,1,0.125,[ 2 15 19  3  8  4 17  7 18 16],"[75.55304268 74.8598955  73.47360114 74.8598955  76.24618986 69.31471806
 70.70101242 77.63248422 74.16674832 71.3941596  70.00786524 70.70101242
 73.47360114 70.70101242 69.31471806 70.70101242 74.16674832 76.93933704
 70.70101242 70.00786524]",4,3,0.75,1,0.25,0.3
8,300,128,20,100,10,avg,1,0.125,[17  5  0 13  7  8 15  2  6 18],"[79.71192576 71.3941596  74.8598955  71.3941596  72.08730678 74.8598955
 73.47360114 77.63248422 74.8598955  73.47360114 70.70101242 72.08730678
 71.3941596  74.16674832 69.31471806 72.08730678 70.70101242 74.16674832
 68.62157088 69.31471806]",2,2,1.0,0,0.0,0.1999999999999999
8,300,128,20,100,10,avg,1,0.125,[12 19  1  5  6 11 17  3 10 15],"[73.47360114 74.16674832 74.8598955  73.47360114 71.3941596  74.16674832
 70.70101242 74.8598955  74.8598955  74.16674832 72.78045396 72.08730678
 72.78045396 70.70101242 70.00786524 70.00786524 70.70101242 75.55304268
 68.62157088 71.3941596 ]",4,1,0.25,3,0.75,0.0999999999999999
8,300,128,20,100,10,avg,1,0.125,[17  2  7 13  8  6 14  1  3  0],"[74.16674832 75.55304268 76.93933704 73.47360114 73.47360114 71.3941596
 68.62157088 77.63248422 76.93933704 72.78045396 71.3941596  72.08730678
 74.16674832 71.3941596  72.78045396 68.62157088 70.70101242 76.93933704
 67.92842369 70.70101242]",4,4,1.0,0,0.0,0.4
8,300,128,20,100,10,avg,1,0.125,[ 9  0 18 15 14 10 19  5 13 11],"[79.01877858 70.70101242 75.55304268 72.08730678 72.78045396 76.24618986
 70.70101242 74.16674832 72.78045396 76.24618986 72.78045396 72.08730678
 67.92842369 72.08730678 70.00786524 72.08730678 68.62157088 73.47360114
 67.92842369 70.70101242]",4,3,0.75,1,0.25,0.3
8,300,128,20,100,10,avg,1,0.125,[16 10  7  2 11 17  8  9 19  3],"[74.8598955  76.24618986 75.55304268 74.8598955  74.16674832 71.3941596
 68.62157088 78.3256314  76.93933704 72.78045396 72.78045396 72.78045396
 74.8598955  72.08730678 71.3941596  68.62157088 72.78045396 77.63248422
 69.31471806 71.3941596 ]",4,3,0.75,1,0.25,0.3
8,300,128,20,100,10,avg,1,0.125,[ 2 16  3  4  8  9 17 19  0  6],"[76.24618986 74.8598955  76.24618986 75.55304268 75.55304268 70.70101242
 69.31471806 74.16674832 73.47360114 73.47360114 70.70101242 68.62157088
 70.70101242 69.31471806 69.31471806 70.70101242 71.3941596  76.24618986
 70.00786524 71.3941596 ]",5,5,1.0,0,0.0,0.5
