gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,100,0,tardos,0.5,0,0.4,1.0,0.6,0.23243901998091923,0.23650011062608764,0.3726625892720886,0.29468406250970525,0.4444143507772263,0.6193938663264065,0.8666908856110129,0.7742898842208983,0.7903392835890427,0.9109009995938593
2,300,128,20,100,0,tardos,0.5,1,0.4,1.0,0.6,0.23325697008184487,0.2378495083074324,0.3762920337574637,0.28221480041324826,0.4212407313998247,0.6131200859617039,0.8647679072977994,0.7904554804497174,0.7939082228410829,0.904081316905466
2,300,128,20,100,0,tardos,0.5,2,0.4,1.0,0.6,0.23279149697151347,0.23755726486049894,0.3732259725963514,0.30358168143157876,0.429380615822352,0.6081517715796628,0.8668299406029691,0.7846561261353598,0.7877695054624804,0.910746162700208
2,300,128,20,101,0,tardos,0.5,0,0.4,1.0,0.6,0.23291019492828174,0.23755887011475785,0.37248378849289143,0.3038728013813338,0.4302393138126012,0.6109877571294978,0.8667532753582605,0.7869870365990628,0.7864634879064514,0.9108782627927382
2,300,128,20,101,0,tardos,0.5,1,0.4,1.0,0.6,0.23255143050033444,0.23630026412824764,0.37430040913424173,0.30018650424397936,0.44105259466225716,0.6200541670304516,0.8680655414709622,0.7776564034596373,0.791190585216647,0.911853852103051
2,300,128,20,101,0,tardos,0.5,2,0.4,1.0,0.6,0.23254970700752275,0.23638696454373778,0.37494172495385636,0.30247761725049427,0.4302937913075584,0.6164662228246931,0.867464017917704,0.7840991671995263,0.7812246302812239,0.9085019864529177
2,300,128,20,102,0,tardos,0.5,0,0.4,1.0,0.6,0.2324708372992273,0.2363483859837312,0.3743104893783267,0.3028771968299071,0.42785966558340227,0.6190987205398366,0.867481792737634,0.779066548702013,0.7816642115560232,0.9078639488605501
2,300,128,20,102,0,tardos,0.5,1,0.4,1.0,0.6,0.23321439543243092,0.23821878667821206,0.378362986656718,0.28553202458331883,0.43740528483424435,0.6122311381868342,0.8750030321484827,0.7928887069967094,0.7926432930649162,0.9010321516436002
2,300,128,20,102,0,tardos,0.5,2,0.4,1.0,0.6,0.2325040460202138,0.23645646634450085,0.37640045963344076,0.29236915060408025,0.42148386660646864,0.6068012377510252,0.8672055618977825,0.7809421506354212,0.791421785531431,0.9063128172502432
2,300,128,20,103,0,tardos,0.5,0,0.4,0.9921875,0.6,0.23249691489300517,0.23633966317968708,0.37766323130007495,0.2942385970281817,0.4202568370487587,0.6097298586619824,0.8672963130863386,0.7828683451364887,0.7921865697734235,0.9072446699843335
2,300,128,20,103,0,tardos,0.5,1,0.4,1.0,0.6,0.23296918044139597,0.23770119281758353,0.3781865818140841,0.29098005651029435,0.43048568118359193,0.6329568267152915,0.8695842768990677,0.7868487877948479,0.7973081213956885,0.9180112501017045
2,300,128,20,103,0,tardos,0.5,2,0.4,1.0,0.6,0.2325625168014933,0.23682358293969238,0.3802066989120714,0.30039226657410795,0.42835753615713973,0.6379728274618799,0.8653732800981531,0.7819007913120093,0.7944781866237732,0.9132777407655122
2,300,128,20,104,0,tardos,0.5,0,0.4,1.0,0.6,0.23264411923425315,0.23722726768056604,0.3812105022878397,0.29598955786441067,0.43073278257124137,0.6311266264241276,0.8654377626448272,0.7840494112357577,0.7914991984565244,0.9100012941307138
2,300,128,20,104,0,tardos,0.5,1,0.4,1.0,0.6,0.23281535973141437,0.23751737293491743,0.37752320115536797,0.29132575884516526,0.4274160326942285,0.6202822789467665,0.8674004441835104,0.7904995766061176,0.7829133544695267,0.8960220552774634
2,300,128,20,104,0,tardos,0.5,2,0.4,0.9921875,0.6,0.23230129711191924,0.236598539766463,0.38076037194958917,0.28531913001058695,0.4403373238995933,0.6228507271496504,0.8652374521307448,0.7700319954396488,0.7788532484187947,0.9062949895053571
2,300,128,20,105,0,tardos,0.5,0,0.4,1.0,0.6,0.23226111329195787,0.23636513408831056,0.3790680069743928,0.2860892949149331,0.44024994655386784,0.6247919461699932,0.8650959082466801,0.7685196151658024,0.7844643958056707,0.9074643222036195
2,300,128,20,105,0,tardos,0.5,1,0.4,1.0,0.6,0.23269898748609752,0.23687580752999854,0.3754172144952752,0.2877328484209863,0.42703587579067936,0.6341364459647708,0.8697025808575357,0.7758613301425624,0.7789332302970932,0.8991544028795637
2,300,128,20,105,0,tardos,0.5,2,0.4,1.0,0.6,0.23308621526195647,0.237822415178032,0.3751481434190669,0.29160522175009973,0.4382402799626887,0.6174739462758491,0.8769661750290105,0.7832406568705501,0.8000490516535322,0.8974804271041842
2,300,128,20,106,0,tardos,0.5,0,0.4,1.0,0.6,0.23312676572148916,0.23774768574028377,0.3779505192508163,0.2948990783287598,0.43928317600447353,0.6166210749311536,0.8771084380181549,0.7861237219075563,0.7964005540037304,0.8998766660204837
2,300,128,20,106,0,tardos,0.5,1,0.4,1.0,0.6,0.23321496070054215,0.23751746780091346,0.37822847887992933,0.28713249925427825,0.42874740461414057,0.6138339404229944,0.8696880909258956,0.7911335599012604,0.775528989972732,0.8980606688641394
2,300,128,20,106,0,tardos,0.5,2,0.4,1.0,0.6,0.23271511306820442,0.2373385152662809,0.3774298502809192,0.28163262952109736,0.42481939364654475,0.6290375745457438,0.8759957585326352,0.7760769362721015,0.8063706626898391,0.8940408301574658
2,300,128,20,107,0,tardos,0.5,0,0.4,0.984375,0.6,0.2326831292153678,0.2375137414345483,0.37601654574467513,0.2814669810335884,0.4256106593893203,0.6261465103607544,0.8759652402091372,0.7704691413433404,0.8063515578951119,0.8925367426694933
2,300,128,20,107,0,tardos,0.5,1,0.4,1.0,0.6,0.23299698152151102,0.23732490532468495,0.37929292369708983,0.28727379574042583,0.4367760616270361,0.600411979642731,0.8648780437066196,0.7572404342285158,0.8019608702822734,0.9049369608542046
2,300,128,20,107,0,tardos,0.5,2,0.4,1.0,0.6,0.23280933661128458,0.2370944988124422,0.3781410502548928,0.28995399850936726,0.43014579412057313,0.5887216649560452,0.8672375134025179,0.7885685840457921,0.776063372770938,0.8947294061427383
2,300,128,20,108,0,tardos,0.5,0,0.4,1.0,0.6,0.232513669416643,0.23630841224317686,0.3780839702419825,0.28750953099046855,0.427077339746097,0.5929163603601907,0.8673473140501554,0.790080133669544,0.7752955533906296,0.8952274364603745
2,300,128,20,108,0,tardos,0.5,1,0.4,1.0,0.6,0.23203668937180116,0.235925922487964,0.37378042847858933,0.28746225558860955,0.4243955820358026,0.6185642728571912,0.8623357414457786,0.7914653484482317,0.7908057705716737,0.9005003269113541
