l,g,x,sk,embedding_ratio,accuracy,marital-status-relationship,marital-status-sex,relationship-sex,income-relationship,education-education-num,age-marital-status,education-num-occupation,age-relationship
128,2,2,4370315727,0.5,0.022902654504878023,0.06928375760221812,0.07628109899933291,0.08266559324144342,0.03337369103826894,0.13287261806979178,0.07627176314808587,0.10075202529675652,0.07178687517542937
128,2,2,4370315728,0.5,0.02285761084323782,0.07022856294126952,0.08284226221014035,0.08100663276358902,0.03640970480022024,0.13363048923904006,0.0738840076437842,0.09756089748036427,0.06944853590534682
128,2,2,4370315729,0.5,0.022806424864101227,0.06903242226791777,0.08150959802852477,0.08590355040880823,0.03740024036012538,0.12768067269494282,0.07203348230766356,0.09552739093786662,0.07359026293970654
128,2,2,4370315730,0.5,0.02300912134148214,0.06810078563435273,0.07884540473391004,0.0817634719612025,0.038479850401203664,0.14011909243506032,0.07503165965586896,0.0889475928357844,0.07583595771284357
128,2,2,4370315731,0.5,0.023041880368129562,0.07272761440440399,0.08870011051454026,0.08924301681689431,0.034457074016015755,0.14005743860498415,0.07420885884887682,0.08584818128867061,0.07525258989591017
128,2,2,4370315732,0.5,0.023099208664762547,0.0683031114846063,0.07790650266438963,0.08277797243158785,0.03329593415182588,0.13713214078599728,0.07935654443583764,0.0878752354944873,0.062012044504703316
128,2,2,4370315733,0.5,0.023127872813079042,0.06698781115026306,0.08734508955709903,0.07914878712741454,0.034438510290240816,0.14056485918147113,0.0752208382282782,0.09338392456853986,0.0680746483308882
128,2,2,4370315734,0.5,0.022951793044849154,0.06497381490851718,0.08069436674743356,0.0754684259825627,0.03367984470159004,0.13112507023635028,0.06976685036395082,0.0951640746441278,0.05540842957823418
128,2,2,4370315735,0.5,0.022882180113223387,0.06723014019029902,0.0840624234950788,0.08296150289024842,0.034511688311020056,0.13981021378884667,0.07810769875594943,0.09318600318969406,0.07194579832876757
128,2,2,4370315736,0.5,0.02299683670648936,0.07262780169346324,0.07840013266016126,0.07858957311812205,0.03122753062403355,0.13770834955531966,0.08003189705209288,0.09042662611000242,0.07275104562486183
128,4,2,4370315727,0.25,0.011150353695115835,0.035354679557487174,0.038359247468665,0.03951395943008947,0.016316036200348532,0.06991238411226583,0.03838584676164318,0.05316190377078446,0.03601469611582382
128,4,2,4370315728,0.25,0.011473849083259114,0.037081282843635086,0.04247898479479539,0.0421746066865498,0.016978596549730506,0.0771089014475244,0.03941465119450084,0.059532781307867606,0.04083746232988251
128,4,2,4370315729,0.25,0.01182805605888435,0.036545377085499965,0.04650376731218132,0.04734541632194458,0.022810762426639968,0.07742873720201851,0.03511341333565458,0.057852500949002836,0.03816900854428348
128,4,2,4370315730,0.25,0.01150456067074107,0.03495037900781059,0.038629783078387894,0.04163771174513761,0.017557135786297032,0.07594471854133741,0.03363314530834419,0.058349053769188475,0.035615325243571944
128,4,2,4370315731,0.25,0.011563936406539521,0.036460617675424176,0.045100767755399604,0.046415671579741545,0.014959937923387942,0.07720651640861813,0.04382542222809147,0.05070841998021402,0.039260489695336895
128,4,2,4370315732,0.25,0.011549604332381273,0.03398631054814689,0.035387647928552576,0.04173992742541889,0.017681332125277515,0.07873726005393332,0.03755667051055252,0.053080811502515264,0.029892656422123354
