gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
32,300,128,20,100,0,tardos,0.03125,0,0.05,0.984375,0.95,0.04572265175539416,0.012732411327914176,0.052521351662037336,0.031886175462477816,0.052922718311181484,0.13584827270289496,0.2768294233357569,0.15726612995991526,0.1933726121347465,0.2416589529879159
32,300,128,20,100,0,tardos,0.03125,1,0.05,0.9609375,0.95,0.04605007408089871,0.012636780363438032,0.05189104490858818,0.02807974824727212,0.05408754896498587,0.13030392789296005,0.26559504836079784,0.15910943943391534,0.17759980342926632,0.22258406882036116
32,300,128,20,100,0,tardos,0.03125,2,0.05,0.9609375,0.95,0.045905567493098966,0.012764330239141159,0.050451066628328614,0.03287366725515828,0.05024648415102945,0.12491117734973615,0.27183519213143426,0.1587033960300604,0.18621359977337815,0.22113395825276233
32,300,128,20,100,0,tardos,0.03125,0,0.1,0.9375,0.9,0.08027673645554015,0.03412580992141088,0.09401948960581977,0.05190441327170482,0.09833941684979448,0.23648397445812186,0.44465803352879923,0.2893101131319683,0.3370254574304781,0.4194088304141389
32,300,128,20,100,0,tardos,0.03125,1,0.1,0.921875,0.9,0.07963667679254643,0.03381178551385063,0.0925975742929166,0.052194960827605455,0.10158091194788414,0.22742440275524975,0.4314078213592809,0.26549891017337063,0.3318480288536243,0.407226210027126
32,300,128,20,100,0,tardos,0.03125,2,0.1,0.921875,0.9,0.07997853895266134,0.034047203753632974,0.09019586309510538,0.05011992676341497,0.09921546263412506,0.22843074747158837,0.43866412754234546,0.2747497123410322,0.32419041929870696,0.4058678842543695
32,300,128,20,100,0,tardos,0.03125,0,0.15,0.890625,0.85,0.11309248265969382,0.0622223685457811,0.1336895995945866,0.06575321668961809,0.17377105574934001,0.30310620419617973,0.5745668459793872,0.3738391619711714,0.45352858931305645,0.5424096298248098
32,300,128,20,100,0,tardos,0.03125,1,0.15,0.8828125,0.85,0.11255780017342457,0.062204260186845814,0.13465595261098862,0.07136069679813005,0.17700293068448128,0.3008415495656042,0.5765904317864091,0.3651912454691711,0.4543284746128377,0.5334180214709878
32,300,128,20,100,0,tardos,0.03125,2,0.15,0.9140625,0.85,0.11256740508734382,0.06197674554114084,0.13403301095366643,0.07452640724125456,0.17432195771496248,0.29900553309639655,0.5569595455024278,0.37683932062562936,0.4437780322901183,0.540932700287669
32,300,128,20,100,0,tardos,0.03125,0,0.2,0.8984375,0.8,0.1394299643388604,0.09109854125938252,0.17047562181968634,0.10505458707544447,0.23402461610250974,0.3585837740589229,0.6591465194589065,0.4721375631521114,0.5319027881149014,0.6314570108849872
32,300,128,20,100,0,tardos,0.03125,1,0.2,0.8828125,0.8,0.13826300899509325,0.09037336242424567,0.1752431063279325,0.10523190037186456,0.23691443724711383,0.36717231930117494,0.6535043047014172,0.45246232244168083,0.5197263754029983,0.6454973392268484
32,300,128,20,100,0,tardos,0.03125,2,0.2,0.90625,0.8,0.13899511510412516,0.09084739390729511,0.16955743832983292,0.1003903181399416,0.2298746276233053,0.35606439842014104,0.6466236320116799,0.46121282283667875,0.53986710756835,0.636680187330474
32,300,128,20,100,0,tardos,0.03125,0,0.25,0.859375,0.75,0.16345583245288112,0.12228411722894446,0.21958321380448007,0.1299749742979997,0.28690128392505954,0.4447364736574189,0.7229626636827445,0.5539015733967153,0.6020348460185555,0.7260845158076263
32,300,128,20,100,0,tardos,0.03125,1,0.25,0.8671875,0.75,0.16313974951000795,0.12197592662431127,0.21429711417202216,0.13958797441848453,0.2894569606584957,0.438927714563335,0.7287175056238939,0.5425023962447196,0.6005859506348158,0.7102899748539395
32,300,128,20,100,0,tardos,0.03125,2,0.25,0.859375,0.75,0.16345862896057123,0.12174724153762308,0.2155153305418432,0.1393342453400781,0.2932451173080194,0.4356413081700741,0.7204880481047854,0.5409514321653182,0.5899893273432189,0.7318902244191924
32,300,128,20,101,0,tardos,0.03125,0,0.05,0.9375,0.95,0.0462570750786576,0.013007335099572895,0.05048721784789548,0.032583240248317304,0.050156250316723786,0.12762377228263092,0.27183519213143426,0.16115900492298052,0.1850581078397937,0.2239484113890901
32,300,128,20,101,0,tardos,0.03125,1,0.05,0.9375,0.95,0.045781002590354995,0.012717975166190372,0.05231046131052433,0.03814095490014696,0.05292193145365795,0.13345308248387933,0.2639787007221412,0.15691749287361176,0.18459983869045463,0.24814788882785177
32,300,128,20,101,0,tardos,0.03125,2,0.05,0.9375,0.95,0.045630487079058514,0.012659442589697012,0.053540473797367066,0.02225247749531975,0.049726949052842064,0.13312107300110276,0.26596580877157744,0.15945738634039303,0.17152741816936554,0.22197616367758927
32,300,128,20,101,0,tardos,0.03125,0,0.1,0.9296875,0.9,0.08016551116136167,0.03426654463392701,0.09025871963274931,0.0497865231495502,0.09929331570825724,0.23133943419112682,0.43866412754234546,0.27745117799982544,0.32304166929602807,0.4078192717917817
32,300,128,20,101,0,tardos,0.03125,1,0.1,0.9296875,0.9,0.08039022551766285,0.03438108511587143,0.09214549304518041,0.05926296847418705,0.10314159513212413,0.2308374411714827,0.4443597916002641,0.27723161386537415,0.33482218941755415,0.4358856458399645
32,300,128,20,101,0,tardos,0.03125,2,0.1,0.90625,0.9,0.08024353517218327,0.03428264144336055,0.09493329469499853,0.052420447682385136,0.10560717938154691,0.23712921563201708,0.44483978404162144,0.2735632393926395,0.334263945157299,0.4077711653816391
32,300,128,20,101,0,tardos,0.03125,0,0.15,0.921875,0.85,0.1126584074338358,0.0620991940305479,0.134038424116406,0.07407712655026298,0.1743501497039384,0.30163876327924793,0.5569595455024278,0.37910771398442084,0.4425951669617458,0.5424730665993551
32,300,128,20,101,0,tardos,0.03125,1,0.15,0.90625,0.85,0.11296594424658123,0.062483318854375754,0.13012119859586885,0.07063377236363154,0.1735037845361671,0.2989118153504594,0.5687886283385445,0.3855253706560177,0.4432128908435851,0.5253399603936066
32,300,128,20,101,0,tardos,0.03125,2,0.15,0.8984375,0.85,0.11288813690687058,0.06227233032450038,0.1327447136568274,0.060684466216526484,0.1769604785230687,0.29619277075857614,0.5812770388279654,0.36050384829774984,0.45348696114608106,0.5510087353966768
32,300,128,20,101,0,tardos,0.03125,0,0.2,0.84375,0.8,0.13904930918067962,0.09093373735586231,0.16961912508900756,0.09976410367214876,0.22982600715540938,0.35836336803252256,0.6466236320116799,0.4629173150948423,0.539185476305459,0.6375497774846987
32,300,128,20,101,0,tardos,0.03125,1,0.2,0.8515625,0.8,0.13892218374811008,0.09075821746338548,0.1708980084262828,0.10003163733789125,0.23380921347975156,0.374818724213724,0.6544261445717089,0.46144808440684937,0.5328810949848882,0.615087601799462
32,300,128,20,101,0,tardos,0.03125,2,0.2,0.890625,0.8,0.1387461081287995,0.09070365366488717,0.1716356926883715,0.0883551068404849,0.24303206283777073,0.379112192132423,0.6591279439065808,0.4654530321499724,0.5385776446181884,0.6346300463695608
32,300,128,20,101,0,tardos,0.03125,0,0.25,0.8671875,0.75,0.1634910748211501,0.12180906167871215,0.21546510491472573,0.13903387785309518,0.29334498757086275,0.4380593192308837,0.7204880481047854,0.542636670325643,0.5892526624598652,0.7322159961183062
32,300,128,20,101,0,tardos,0.03125,1,0.25,0.890625,0.75,0.16334870582937813,0.1217699741881096,0.21586397253788836,0.13786631289295112,0.2819622672107161,0.4330991855232996,0.7220143741967285,0.5495890771595922,0.6050731647975858,0.7069567299259467
32,300,128,20,101,0,tardos,0.03125,2,0.25,0.8125,0.75,0.16351672799644718,0.12251176746715482,0.21199949866104392,0.1318880378576056,0.2836116503306351,0.4422047250237664,0.7176672386402803,0.5334956691542408,0.6192982632877694,0.7098377100372015
32,300,128,20,102,0,tardos,0.03125,0,0.05,0.9921875,0.95,0.045498677292253716,0.012550410768407731,0.053538330922029156,0.021823301303752873,0.04993444994463528,0.1312812094763776,0.2660306577253598,0.1587191507569114,0.16960282713382244,0.2235732421067414
32,300,128,20,102,0,tardos,0.03125,1,0.05,0.9609375,0.95,0.046178734043980645,0.012725584626013395,0.052407896224779274,0.040674610979614084,0.053009915218650956,0.1302053945982198,0.28154015835371343,0.15222342316210785,0.19581380713030566,0.24914635147201364
32,300,128,20,102,0,tardos,0.03125,2,0.05,0.9921875,0.95,0.0458342079473456,0.012655202085752416,0.052581049492784526,0.03308490155205022,0.049905013438209495,0.12526350671124079,0.27539336171853374,0.1659460767294188,0.17585798922185672,0.2293530296801335
32,300,128,20,102,0,tardos,0.03125,0,0.1,0.96875,0.9,0.08022338022269718,0.03420018316769288,0.0947774985203015,0.052221796679491395,0.10562190972238772,0.23513402698428473,0.44493046309639256,0.2724441110733413,0.33287367336056234,0.4086777311526951
32,300,128,20,102,0,tardos,0.03125,1,0.1,0.9375,0.9,0.08043031160135097,0.03414814409316638,0.09345477599381927,0.05957851847618116,0.0981281398335464,0.2379041735295421,0.45349288055896536,0.29792710726790916,0.338378096651521,0.42447938812000097
32,300,128,20,102,0,tardos,0.03125,2,0.1,0.9453125,0.9,0.0798142988872234,0.03376943072551885,0.09203688039749436,0.05239545140262775,0.10028586462695085,0.22399766258932358,0.45385093846820707,0.28311987308790004,0.32486275805895426,0.4122927709098288
32,300,128,20,102,0,tardos,0.03125,0,0.15,0.9453125,0.85,0.11293955479834451,0.06229017771193704,0.13263628209637657,0.06061130931491834,0.17668762640805266,0.2949043240395179,0.5813558618650007,0.35949866860356683,0.4523929163958292,0.5518017711599951
32,300,128,20,102,0,tardos,0.03125,1,0.15,0.9140625,0.85,0.11263268357448851,0.062377540439639216,0.1375827708274956,0.06992357593650439,0.17978364504854638,0.3029634308471909,0.5618223567345355,0.382426887541628,0.45201205102918146,0.5525204723881488
32,300,128,20,102,0,tardos,0.03125,2,0.15,0.8984375,0.85,0.11288122318458436,0.06246215323643353,0.13651155398801637,0.06681332969805713,0.17873311829363778,0.29328613466149184,0.5673944643035285,0.36457837159867396,0.43140350566750957,0.5481520253664339
32,300,128,20,102,0,tardos,0.03125,0,0.2,0.8984375,0.8,0.13881824117016317,0.0907691779081637,0.17139117323631106,0.0883817410267277,0.24282832082234718,0.378095178328419,0.6592123085105276,0.4647445387367733,0.5372045205725984,0.6357764731231634
32,300,128,20,102,0,tardos,0.03125,1,0.2,0.890625,0.8,0.13851186129583662,0.09039237371818074,0.17231763444655016,0.1060540981932367,0.22855133151306412,0.3596923580687901,0.6487913668764723,0.45833884946018416,0.5346567788875862,0.611947127267042
32,300,128,20,102,0,tardos,0.03125,2,0.2,0.8984375,0.8,0.13925036784258044,0.09105184525398767,0.17089592191562314,0.09352173744306107,0.23609079935918403,0.3697531272095597,0.652981505315589,0.4593067206349109,0.5167095693480179,0.6363022957965816
32,300,128,20,102,0,tardos,0.03125,0,0.25,0.890625,0.75,0.1635713676126857,0.12256121934945849,0.2116990320542949,0.13179942434642916,0.28346041301496466,0.44125783792896145,0.7177144288899759,0.532169276438498,0.6182827508909117,0.7107967389192816
