gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
2,300,64,20,100,0,0.5,0,Elevation,0.0002839207787846,0.0022725013535687,0.003794445523104,5.737649932864587e-05,1.1186000000000007,0.0025,0.9999823788265192
2,300,64,20,100,0,0.5,0,Aspect,0.0001403703703703,2.601099464347825e-05,0.0009734096119769,3.792292204298181e-06,0.0904,0.0006666666666666,1.0
2,300,64,20,100,0,0.5,0,Slope,2.3497267759585733e-05,0.0017439683499992,0.0038728695810727,6.000881127518895e-05,0.0241000000000003,0.0020333333333333,0.9999999715897882
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0014705137751302,0.0040634984572688,0.0055270004885866,0.0001219247369748,2.017966666666667,0.0065666666666666,0.5350491366494899
2,300,64,20,100,0,0.5,0,Vertical_Distance_To_Hydrology,0.0011435714285714,0.0185465264465747,0.0116199513351195,0.0005351903085385,1.0123666666666682,0.009,0.1749017813917803
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Roadways,0.000463458386024,0.0036199724427914,0.0029295694555468,3.433623991679755e-05,6.248900000000004,0.0025,0.9999823788265192
2,300,64,20,100,0,0.5,0,Hillshade_9am,0.0001398950131234,0.0027409404194128,0.0023532623630418,2.269745499965702e-05,0.0456666666666664,0.0008333333333333,1.0
2,300,64,20,100,0,0.5,0,Hillshade_Noon,0.0001660215053763,0.0026816889337113,0.0021145211087474,1.796016122460656e-05,0.039066666666667,0.0010666666666666,1.0
2,300,64,20,100,0,0.5,0,Hillshade_3pm,3.776881720429423e-05,0.0011839220654692,0.0020611546465751,1.7051359983523262e-05,0.0482999999999995,0.0012999999999999,1.0
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0022743250151029,0.0008333457700702,0.0036337975232643,5.27984896930261e-05,16.77026666666667,0.0043666666666667,0.9360327634509268
2,300,64,20,101,0,0.5,0,Elevation,0.000301158106747,0.0020624101314793,0.0032926464001917,4.311786288902631e-05,0.9289666666666642,0.0023999999999999,0.9999939190868572
2,300,64,20,101,0,0.5,0,Aspect,0.0003362962962963,0.000607954102749,0.0009225381240524,3.4066415958907017e-06,0.134066666666667,0.0010999999999999,1.0
2,300,64,20,101,0,0.5,0,Slope,0.0001939890710382,0.0028599273986323,0.0035419846607538,4.992076511448907e-05,0.024766666666667,0.0021666666666666,0.9999997241338532
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0017359642591213,0.0060434044895345,0.005940299509506,0.0001403589480256,2.3584000000000005,0.0067,0.5088996882354222
2,300,64,20,101,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007034285714285,0.0111503045142246,0.0110261169600118,0.0004804684508556,0.7544666666666676,0.0070333333333333,0.4461416944222756
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Roadways,0.0005158259566296,0.0028817793391483,0.0020967522362223,1.7599972368930673e-05,5.948333333333335,0.0017,0.9999999999924896
2,300,64,20,101,0,0.5,0,Hillshade_9am,9.514435695540594e-05,0.0016325906831298,0.0018967453087953,1.445547415527808e-05,0.0346333333333329,0.0008333333333333,1.0
2,300,64,20,101,0,0.5,0,Hillshade_Noon,0.0001152688172042,0.0014148794870797,0.0016128119910974,1.0426792091271017e-05,0.0316000000000001,0.0011333333333333,1.0
2,300,64,20,101,0,0.5,0,Hillshade_3pm,3.696236559136423e-05,0.0008356609061312,0.002107708138834,1.7803508108675125e-05,0.0530333333333333,0.0011999999999999,1.0
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0022572982015893,0.0009377432780309,0.0041093700968148,6.750576407396366e-05,16.608266666666665,0.0048333333333333,0.8730103808279996
2,300,64,20,102,0,0.5,0,Elevation,0.0005852970795567,0.0032283852605675,0.0037224594185564,5.538418343906399e-05,1.432266666666667,0.0039333333333333,0.9737460203154992
2,300,64,20,102,0,0.5,0,Aspect,0.000254074074074,9.59375699846858e-05,0.0013341292610354,7.1204277699284285e-06,0.1162666666666658,0.0009333333333333,1.0
2,300,64,20,102,0,0.5,0,Slope,6.721311475411644e-05,0.0020223895120599,0.0034071018706603,4.6188225580122e-05,0.0196999999999999,0.0020666666666666,0.9999999476975148
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016551005212211,0.0024382880828263,0.0057272709730868,0.0001308774393742,2.2445333333333366,0.0072333333333333,0.4105640354033594
2,300,64,20,102,0,0.5,0,Vertical_Distance_To_Hydrology,0.0005939523809523,0.0104176325252851,0.0111855555287936,0.0004938565379292,0.7182333333333333,0.0071333333333333,0.4281442611748517
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Roadways,0.0002289400964825,0.0020501555730478,0.0022279770389046,1.9850247850067718e-05,4.449833333333336,0.0014666666666666,0.9999999999999994
2,300,64,20,102,0,0.5,0,Hillshade_9am,0.0001202099737532,0.001642134130324,0.0026296923464844,2.724081549333525e-05,0.0443333333333328,0.0007333333333333,1.0
2,300,64,20,102,0,0.5,0,Hillshade_Noon,0.000221935483871,0.0031968753306531,0.0023505275906011,2.222531244671581e-05,0.0455333333333333,0.0011333333333333,1.0
2,300,64,20,102,0,0.5,0,Hillshade_3pm,4.690860215060499e-05,0.0015918327858051,0.0016321215954041,1.0666497578630684e-05,0.0554333333333332,0.0010666666666666,1.0
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0019188603829708,9.572667496193458e-05,0.0039394426098923,6.196760527026663e-05,14.71286666666667,0.0044666666666667,0.9244090299438616
2,300,64,20,103,0,0.5,0,Elevation,0.0006414065122523,0.0021147724971751,0.0044158918431775,7.803148876099903e-05,1.7092999999999998,0.0040999999999999,0.9616640472856632
2,300,64,20,103,0,0.5,0,Aspect,0.0002208333333333,7.740161682170058e-05,0.0013756220080334,7.565311475621255e-06,0.111033333333333,0.0008999999999999,1.0
2,300,64,20,103,0,0.5,0,Slope,0.0001300546448087,0.0012548219530858,0.0037705710050963,5.842735379271694e-05,0.0252666666666668,0.0018,0.9999999998549512
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0018417969719533,0.0046088702952341,0.0062661170190256,0.0001567501301179,2.492666666666668,0.0081666666666666,0.2683226031690088
2,300,64,20,103,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007178571428571,0.0119201404904237,0.0104316564332575,0.0004315087199336,0.7554333333333346,0.0065666666666667,0.5350491366494681
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Roadways,0.0006872980188281,0.0035989042215517,0.0028850527398751,3.329174531948784e-05,7.298966666666669,0.0022666666666666,0.999998830138968
2,300,64,20,103,0,0.5,0,Hillshade_9am,0.0001244094488188,0.0028474249470862,0.002368246167783,2.2701614111901517e-05,0.0471333333333327,0.0007333333333333,1.0
2,300,64,20,103,0,0.5,0,Hillshade_Noon,0.0002847311827957,0.0038249651075511,0.0026611359566608,2.8462833619999588e-05,0.0562000000000002,0.0012,1.0
2,300,64,20,103,0,0.5,0,Hillshade_3pm,9.677419354839077e-05,0.0012796999531082,0.0018722624916182,1.404184511685942e-05,0.0565333333333333,0.0012999999999999,1.0
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0023632789627771,0.0004475214269033,0.0039054203320428,6.100065428873792e-05,17.264333333333333,0.0046666666666667,0.8980050017105067
2,300,64,20,104,0,0.5,0,Elevation,0.0006055723397112,0.0038342407016442,0.0041806026453978,6.967003020861876e-05,1.728266666666667,0.0036666666666667,0.9872774354872266
2,300,64,20,104,0,0.5,0,Aspect,7.648148148149403e-05,0.000311365303408,0.0008289543541317,2.749971485870929e-06,0.0761333333333327,0.001,1.0
2,300,64,20,104,0,0.5,0,Slope,0.0002775956284152,0.0017796521440507,0.0039910215520857,6.36951325072263e-05,0.0342000000000004,0.0025666666666667,0.9999665868615684
2,300,64,20,104,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0012668652271035,0.0023827100225716,0.004676631387595,8.735403572311542e-05,1.7316666666666645,0.0059333333333333,0.6641952962620363
2,300,64,20,104,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007073333333333,0.0108404255360589,0.0128449376280188,0.0006521506227531,0.8282666666666681,0.0083999999999999,0.2390763053060001
2,300,64,20,104,0,0.5,0,Horizontal_Distance_To_Roadways,0.0008316191279096,0.0023284851007715,0.0023600480211581,2.232139684673564e-05,6.072833333333336,0.0019,0.9999999982284516
2,300,64,20,104,0,0.5,0,Hillshade_9am,8.307086614169254e-05,0.0017171611291398,0.0020016968264943,1.613066985358671e-05,0.0388999999999997,0.0009,1.0
2,300,64,20,104,0,0.5,0,Hillshade_Noon,0.0002320430107526,0.0041729842022177,0.0030590822669736,3.826556534699989e-05,0.0513000000000002,0.0010666666666666,1.0
2,300,64,20,104,0,0.5,0,Hillshade_3pm,2.7956989247323077e-05,0.0012847128449603,0.0018806999155943,1.4166756767111468e-05,0.0490000000000004,0.0008333333333333,1.0
2,300,64,20,104,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0026539569682606,0.0006549620967914,0.0045049671806834,8.117568193111458e-05,19.49983333333333,0.0051666666666667,0.8161197234363403
2,300,64,20,105,0,0.5,0,Elevation,0.0010151896609601,0.0025074199035306,0.0040832299145375,6.659139366065574e-05,2.0316333333333336,0.0042,0.9529719703947808
2,300,64,20,105,0,0.5,0,Aspect,6.712962962964752e-05,0.0002619588731136,0.0009068356232571,3.29094342938895e-06,0.0788999999999996,0.0006666666666666,1.0
2,300,64,20,105,0,0.5,0,Slope,9.508196721312613e-05,0.0004156216201006,0.0039994315372448,6.398356327895916e-05,0.0294666666666665,0.0023,0.999998184349669
2,300,64,20,105,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016859022089848,0.0045270685262466,0.0058749401487818,0.0001372685739972,2.299366666666667,0.0066,0.5284628398482288
2,300,64,20,105,0,0.5,0,Vertical_Distance_To_Hydrology,0.000854238095238,0.0159822298104998,0.0125460272815961,0.0006224634241637,0.8797000000000001,0.0080333333333333,0.2861613517270062
2,300,64,20,105,0,0.5,0,Horizontal_Distance_To_Roadways,0.0009126879303077,0.0030579089266821,0.002976980381271,3.547682969175164e-05,6.547733333333338,0.0025666666666667,0.9999665868615684
2,300,64,20,105,0,0.5,0,Hillshade_9am,0.0001125984251968,0.0023554487126049,0.0020608956217848,1.70633008195164e-05,0.0454000000000001,0.0008666666666666,1.0
2,300,64,20,105,0,0.5,0,Hillshade_Noon,0.0002483870967741,0.0037116158143007,0.0023524269396386,2.2323597088240527e-05,0.0472333333333334,0.0011666666666666,1.0
2,300,64,20,105,0,0.5,0,Hillshade_3pm,3.991935483865962e-05,0.0016360439855005,0.0024424879475541,2.3934086591986723e-05,0.058233333333333,0.0010999999999999,1.0
2,300,64,20,105,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002373373303588,0.0005832998167369,0.0037310826792486,5.567438246491318e-05,17.355366666666665,0.0043666666666666,0.9360327634509392
2,300,64,20,106,0,0.5,0,Elevation,0.0004711983887209,0.0030350361627388,0.0041240710522765,6.795867066958813e-05,1.5840666666666672,0.0041666666666666,0.9559915757561458
2,300,64,20,106,0,0.5,0,Aspect,0.0003124074074073,7.132603343620808e-05,0.0011554486002744,5.339741340678132e-06,0.1359999999999998,0.0010999999999999,1.0
2,300,64,20,106,0,0.5,0,Slope,0.0001792349726776,0.0024947354927115,0.0030237752993925,3.611193891738229e-05,0.0201333333333335,0.0020666666666666,0.9999999476975148
2,300,64,20,106,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0014513030528667,0.0037490720381602,0.0054090230370279,0.0001167838255832,1.949366666666668,0.0071666666666666,0.4222370581402646
2,300,64,20,106,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007305238095238,0.0121748136815309,0.0114444321908287,0.0005150037908335,0.7645666666666675,0.0071666666666666,0.4222370581402646
2,300,64,20,106,0,0.5,0,Horizontal_Distance_To_Roadways,0.0008022059856681,0.0038530084689987,0.0028327847795231,3.216262139260782e-05,6.470833333333332,0.0026333333333333,0.9999396763282764
2,300,64,20,106,0,0.5,0,Hillshade_9am,0.0001044619422572,0.0029958368965628,0.0027361842838732,2.9984955609032595e-05,0.0493333333333329,0.0007333333333333,1.0
2,300,64,20,106,0,0.5,0,Hillshade_Noon,0.000194623655914,0.0023382572189559,0.0021741383745023,1.8933261202952866e-05,0.045366666666667,0.0009666666666666,1.0
2,300,64,20,106,0,0.5,0,Hillshade_3pm,3.736559139794383e-05,0.0022184804893978,0.0017609738172866,1.2456087959124897e-05,0.0605333333333329,0.0008666666666666,1.0
2,300,64,20,106,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0022881035364097,0.0005593371836176,0.0037553361947237,5.638565509529313e-05,16.891766666666665,0.0044333333333332,0.9284035935434036
2,300,64,20,107,0,0.5,0,Elevation,0.000759315206445,0.0037581472100743,0.0045536932185141,8.272580602641875e-05,1.9468666666666652,0.0042,0.9529719703947808
2,300,64,20,107,0,0.5,0,Aspect,0.0001912962962963,0.00043525363656,0.0010568204197976,4.468110973971893e-06,0.092066666666666,0.0011333333333333,1.0
2,300,64,20,107,0,0.5,0,Slope,6.721311475408732e-05,0.0009580703769431,0.0037868154071523,5.734273248560696e-05,0.0265666666666665,0.0021333333333333,0.9999998373028316
2,300,64,20,107,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0018066021345246,0.0048347436441878,0.0065731704340034,0.0001721490628362,2.431800000000002,0.0079333333333333,0.3000846052743677
2,300,64,20,107,0,0.5,0,Vertical_Distance_To_Hydrology,0.0008660952380952,0.0142952061438645,0.0118702351114527,0.0005551285426704,0.8442000000000008,0.0079666666666666,0.2953915226869236
2,300,64,20,107,0,0.5,0,Horizontal_Distance_To_Roadways,0.0007695096248419,0.0034715526127862,0.002840528405825,3.233422275057953e-05,6.126400000000002,0.0024333333333333,0.9999912003139422
2,300,64,20,107,0,0.5,0,Hillshade_9am,0.0001295275590551,0.0019750134073682,0.0018846038070884,1.422062971935924e-05,0.0464999999999998,0.0009666666666666,1.0
2,300,64,20,107,0,0.5,0,Hillshade_Noon,0.0002002150537634,0.0031417687466636,0.0020371503334273,1.6681134488972647e-05,0.0439666666666672,0.0009666666666666,1.0
